site,time,value
GAGE-1,3652.5,3405.6527013702653
GAGE-1,3653.5,2461.823846741293
GAGE-1,3654.5,3439.303917096458
GAGE-1,3655.5,3197.2067459626182
GAGE-1,3656.5,2625.3012807968717
GAGE-1,3657.5,2700.654128037968
GAGE-1,3658.5,2874.7402039042704
GAGE-1,3659.5,3262.700552285274
GAGE-1,3660.5,2841.852687969454
GAGE-1,3661.5,2623.151037088598
GAGE-1,3662.5,2813.6235622558493
GAGE-1,3663.5,3495.516289910402
GAGE-1,3664.5,2797.214699595448
GAGE-1,3665.5,2551.699322932143
GAGE-1,3666.5,2823.0536776980807
GAGE-1,3667.5,2838.0557397216608
GAGE-1,3668.5,2828.70349447392
GAGE-1,3669.5,3026.931205021753
GAGE-1,3670.5,2810.907704213306
GAGE-1,3671.5,2855.9704601312874
GAGE-1,3672.5,2883.4940219928776
GAGE-1,3673.5,2812.407939850459
GAGE-1,3674.5,2805.294303048174
GAGE-1,3675.5,3365.1507845417013
GAGE-1,3676.5,2730.438387227773
GAGE-1,3677.5,2431.60843575821
GAGE-1,3678.5,3231.926414068461
GAGE-1,3679.5,2337.523147411487
GAGE-1,3680.5,2599.1623498489075
GAGE-1,3681.5,3195.7217154244677
GAGE-1,3682.5,2719.3968004857866
GAGE-1,3683.5,2827.043160112681
GAGE-1,3684.5,2313.1443724163705
GAGE-1,3685.5,3018.1765039678403
GAGE-1,3686.5,3057.0542189368653
GAGE-1,3687.5,2632.712967681867
GAGE-1,3688.5,2596.544654180178
GAGE-1,3689.5,3091.557588703483
GAGE-1,3690.5,2818.136550769164
GAGE-1,3691.5,2810.0125896322543
GAGE-1,3692.5,2914.5372908996196
GAGE-1,3693.5,2942.2988389715606
GAGE-1,3694.5,2826.5800280010803
GAGE-1,3695.5,2530.2686485940467
GAGE-1,3696.5,2937.631346422919
GAGE-1,3697.5,2275.7147611429527
GAGE-1,3698.5,2216.404827316965
GAGE-1,3699.5,3016.3796153482726
GAGE-1,3700.5,2975.8181171953975
GAGE-1,3701.5,2632.4650546374014
GAGE-1,3702.5,3650.403048268278
GAGE-1,3703.5,2441.505210479962
GAGE-1,3704.5,2990.6130125776135
GAGE-1,3705.5,2911.205799053544
GAGE-1,3706.5,2389.8359207638914
GAGE-1,3707.5,2613.751174119924
GAGE-1,3708.5,3098.575314622519
GAGE-1,3709.5,2147.0501466688092
GAGE-1,3710.5,2611.4665126100717
GAGE-1,3711.5,2194.348720086502
GAGE-1,3712.5,2633.722349505479
GAGE-1,3713.5,3095.963546115695
GAGE-1,3714.5,2548.801582382879
GAGE-1,3715.5,2862.8739935132958
GAGE-1,3716.5,2789.0596301168603
GAGE-1,3717.5,2740.286553738083
GAGE-1,3718.5,2566.704679639705
GAGE-1,3719.5,2522.9561559201843
GAGE-1,3720.5,3171.404118257994
GAGE-1,3721.5,3001.9056716016744
GAGE-1,3722.5,2846.771350435306
GAGE-1,3723.5,2600.4926183101734
GAGE-1,3724.5,2613.0849632635727
GAGE-1,3725.5,2903.8401912588697
GAGE-1,3726.5,2617.516090614243
GAGE-1,3727.5,3439.641978479247
GAGE-1,3728.5,2682.34909822671
GAGE-1,3729.5,2660.1635269626927
GAGE-1,3730.5,2922.6791199668073
GAGE-1,3731.5,3017.597184360665
GAGE-1,3732.5,2650.8728481523376
GAGE-1,3733.5,2619.1951957013816
GAGE-1,3734.5,2555.740054248464
GAGE-1,3735.5,3421.2835093404287
GAGE-1,3736.5,3054.699258941933
GAGE-1,3737.5,2562.6079465799685
GAGE-1,3738.5,3094.109576005244
GAGE-1,3739.5,2969.940701685229
GAGE-1,3740.5,2911.8741659926113
GAGE-1,3741.5,2621.1474716331
GAGE-1,3742.5,2622.765842414201
GAGE-1,3743.5,2668.911064772906
GAGE-1,3744.5,2635.02678799442
GAGE-1,3745.5,3032.464556094365
GAGE-1,3746.5,2751.7328420827307
GAGE-1,3747.5,2908.2025892536612
GAGE-1,3748.5,2840.659997558803
GAGE-1,3749.5,2510.10053539872
GAGE-1,3750.5,2672.895893244555
GAGE-1,3751.5,2952.577622312765
GAGE-1,3752.5,2930.0171881336955
GAGE-1,3753.5,2837.511256724676
GAGE-1,3754.5,3028.6405287562834
GAGE-1,3755.5,2512.288640513515
GAGE-1,3756.5,2927.0787689092394
GAGE-1,3757.5,2959.7580055595668
GAGE-1,3758.5,3159.750663708301
GAGE-1,3759.5,2738.51241463895
GAGE-1,3760.5,2757.0347997589074
GAGE-1,3761.5,3347.300929054134
GAGE-1,3762.5,2901.5002069906445
GAGE-1,3763.5,2753.359218083696
GAGE-1,3764.5,3051.252931777306
GAGE-1,3765.5,2983.2875698289813
GAGE-1,3766.5,3194.891807290341
GAGE-1,3767.5,2457.7053672193438
GAGE-1,3768.5,2622.2929061958916
GAGE-1,3769.5,2712.8392155776155
GAGE-1,3770.5,2693.165930851485
GAGE-1,3771.5,3027.803543892938
GAGE-1,3772.5,3193.0378788880444
GAGE-1,3773.5,2480.4667868115866
GAGE-1,3774.5,2604.104333370219
GAGE-1,3775.5,3079.977181974219
GAGE-1,3776.5,3168.749607902353
GAGE-1,3777.5,2671.0718548410537
GAGE-1,3778.5,3271.6091506744865
GAGE-1,3779.5,2896.499780946804
GAGE-1,3780.5,2842.9097014661907
GAGE-1,3781.5,3033.227357605734
GAGE-1,3782.5,3108.021967533237
GAGE-1,3783.5,3733.4988418972375
GAGE-1,3784.5,2921.3263904104015
GAGE-1,3785.5,2845.651712537541
GAGE-1,3786.5,3204.92262934445
GAGE-1,3787.5,3123.826129601706
