time,elapsed_seconds,message
14:07:31,4.93e-05,PEST++ performance logger started
14:07:31,0.0008685,starting to process control file
14:07:31,0.0072297,finished processing control file
14:07:31,0.009301,starting basic model IO error checking
14:07:31,0.00462,finished basic model IO error checking
14:07:31,0.0005218,loading parcov
14:07:31,0.0049165,beginning iteration 1
14:07:31,8.2e-05,commencing to build jacobian parameter sets
14:07:31,0.0023803,jacobian parameter sets built, commencing model runs
14:07:35,4.2431,jacobian runs complete, processing runs
14:07:35,0.0004246,processing jacobian runs complete
14:07:35,2.39e-05,saving jacobian and sen files
14:07:35,0.0036956,commencing calculation of upgrade vector
14:07:35,0.0022347,forming JtQJ matrix
14:07:35,4.72e-05,commencing to scale JtQJ matrix- first SVD...
14:07:35,1.56e-05,starting REDSVD
14:07:35,6.57e-05,retrieving REDSVD components
14:07:35,1.71e-05,triming REDSVD components to 3elements
14:07:35,2.13e-05,done REDSVD
14:07:35,4.57e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
14:07:35,8.7e-06,JS
14:07:35,1.43e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
14:07:35,2.76e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
14:07:35,8.9e-06,commencing SVD factorization of lambda-scaled JtQJ
14:07:35,7.1e-06,starting REDSVD
14:07:35,1.4e-05,retrieving REDSVD components
14:07:35,9.6e-06,triming REDSVD components to 3elements
14:07:35,8.1e-06,done REDSVD
14:07:35,1.15e-05,SVD factorization complete
14:07:35,0.0002239,commencing linear algebra multiplication to compute ugrade
14:07:35,1.16e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3Vt info: rows = 3: cols = 3: size = 9: nonzeros = 9
14:07:35,9.5e-06,U info: rows = 3: cols = 3: size = 9: nonzeros = 9
14:07:35,1.42e-05,jac info: rows = 26: cols = 3: size = 78: nonzeros = 78
14:07:35,3.76e-05,linear algebra multiplication to compute ugrade complete
14:07:35,2.06e-05,commencing check of parameter bounds and gradients
14:07:35,0.0018214,beginning upgrade vector calculations, lambda = 0.1
14:07:35,0.002306,commencing calculation of upgrade vector
14:07:35,0.0012191,forming JtQJ matrix
14:07:35,2.64e-05,commencing to scale JtQJ matrix- first SVD...
14:07:35,9.3e-06,starting REDSVD
14:07:35,1.86e-05,retrieving REDSVD components
14:07:35,5.6e-05,triming REDSVD components to 3elements
14:07:35,1.1e-05,done REDSVD
14:07:35,1.42e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
14:07:35,7.3e-06,JS
14:07:35,1e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
14:07:35,1.86e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
14:07:35,7.8e-06,commencing SVD factorization of lambda-scaled JtQJ
14:07:35,7e-06,starting REDSVD
14:07:35,1.4e-05,retrieving REDSVD components
14:07:35,9.6e-06,triming REDSVD components to 3elements
14:07:35,8e-06,done REDSVD
14:07:35,7.2e-06,SVD factorization complete
14:07:35,0.0003837,commencing linear algebra multiplication to compute ugrade
14:07:35,1.41e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3Vt info: rows = 3: cols = 3: size = 9: nonzeros = 9
14:07:35,1.05e-05,U info: rows = 3: cols = 3: size = 9: nonzeros = 9
14:07:35,9.8e-06,jac info: rows = 26: cols = 3: size = 78: nonzeros = 78
