iteration,_is_super,_lambda,_scale_factor,hk1,hk2,hk3,rch0,rch1
0,0,0.1,1,5.00122,50,5.00002,,
0,0,0.1,0.75,5.00091,28.1171,5.00001,1,1
0,0,1,1,5.01109,50,5,,
0,0,1,0.75,5.00831,28.1171,5,1,1
0,0,10,1,5.53374,50,5.00645,,
0,0,10,0.75,5.39519,28.1171,5.00484,1,1
0,0,100,1,10.3158,24.9133,9.00358,,
0,0,100,0.75,8.60733,16.675,7.77238,1,1
0,0,1000,1,5.88979,6.1163,10.0448,,
0,0,1000,0.75,5.6535,5.8158,8.43721,1,1
1,0,0.1,1,50,21.9111,30.7377,,
1,0,0.1,0.75,33.6979,22.6259,22.613,1,1
1,0,1,1,50,22.4617,33.4988,,
1,0,1,0.75,33.6979,23.051,24.1199,1,1
1,0,10,1,33.7696,31.8825,38.8415,,
1,0,10,0.75,25.1055,29.9759,26.9511,1,1
1,0,100,1,14.7202,46.3487,31.6315,,
1,0,100,0.75,13.4683,39.6859,23.1043,1,1
1,0,1000,1,10.23,33.6606,24.6649,,
1,0,1000,0.75,10.2514,31.2211,19.1718,1,1
2,0,0.1,1,16.4748,26.0957,48.7173,,
2,0,0.1,0.75,18.3045,27.0159,42.0152,1,1
2,0,1,1,16.4739,26.1562,48.7029,,
2,0,1,0.75,18.3037,27.0629,42.0059,1,1
2,0,10,1,16.4753,26.6131,48.5531,,
2,0,10,0.75,18.3049,27.4167,41.9089,1,1
2,0,100,1,16.7135,27.7637,47.0228,,
2,0,100,0.75,18.5031,28.301,40.9143,1,1
2,0,1000,1,18.7605,28.6981,38.3238,,
2,0,1000,0.75,20.1779,29.0124,35.095,1,1
3,0,0.1,1,8.61484,41.9689,50,,
3,0,0.1,0.75,10.6575,38.2685,45.7656,1,1
3,0,1,1,8.42164,45.6145,50,,
3,0,1,0.75,10.4777,40.7355,45.7656,1,1
3,0,10,1,14.6784,50,45.8192,,
3,0,10,0.75,15.8938,43.6388,42.8644,1,1
3,0,100,1,18.8006,50,43.1294,,
3,0,100,0.75,19.1358,43.6388,40.963,1,1
3,0,1000,1,19.2647,45.3968,37.4785,,
3,0,1000,0.75,19.489,40.5896,36.8679,1,1
4,0,0.1,1,19.069,50,37.1624,,
4,0,0.1,0.75,19.1731,47.4604,37.0885,1,1
4,0,1,1,18.5094,50,37.8182,,
4,0,1,0.75,18.7496,47.4604,37.5783,1,1
4,0,10,1,7.63883,49.5334,50,,
4,0,10,0.75,9.65423,47.1278,46.3329,1,1
4,0,100,1,3.92639,38.1427,34.9928,,
4,0,100,0.75,5.86061,38.7402,35.4524,1,1
4,0,1000,1,14.7531,38.2364,27.909,,
4,0,1000,0.75,15.8165,38.8116,29.9206,1,1
5,0,0.1,1,12.8273,20.748,50,,
5,0,0.1,0.75,13.2838,24.1741,43.2179,1,1
5,0,1,1,10.2267,21.6526,50,,
5,0,1,0.75,11.2079,24.9604,43.2179,1,1
5,0,10,1,8.54707,23.7017,50,,
5,0,10,0.75,9.79679,26.7119,43.2179,1,1
5,0,100,1,6.96338,21.7968,50,,
5,0,100,0.75,8.4011,25.085,43.2179,1,1
5,0,1000,1,10.2468,29.4391,34.6355,,
5,0,1000,0.75,11.2244,31.4277,32.8154,1,1
