time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.31167634,34.50248191,34.52573107,34.72587619,34.22625889,34.12350983,34.11904460,34.02229520,34.24896107,34.13231213,33.94114746,33.96206937,33.87965735,34.27233848,34.50802138,34.53127238,34.73134056,34.23164476,34.12714848,34.12442536,33.99145021,34.25443588,34.13765955,33.91012450,33.96737232,33.88501118
32.00000000000,34.39661661,34.60079167,34.62545071,34.82636727,34.34662692,34.23142639,34.24291607,34.13154824,34.37222578,34.26819983,34.03597407,34.07537206,33.99073057,34.34687694,34.60634791,34.63097331,34.83178999,34.35139946,34.23418819,34.24755516,34.08710671,34.37697759,34.27248556,33.99382356,34.08025985,33.99568883
61.00000000000,34.47113907,34.69620533,34.72309730,34.93449847,34.44326425,34.31458391,34.34252986,34.21213693,34.48435979,34.37636021,34.11082895,34.16347041,34.06720613,34.41203941,34.70219830,34.72902763,34.94001112,34.44903389,34.31785716,34.34817800,34.15845649,34.48972338,34.38171674,34.06020754,34.16941415,34.07350073
92.00000000000,34.51646043,34.76318748,34.79267326,35.02465826,34.49406810,34.35479752,34.39355061,34.24933864,34.55453256,34.43424656,34.14672983,34.20681208,34.09928748,34.45158354,34.76975949,34.79917586,35.03045703,34.50091199,34.35873847,34.40035117,34.19161267,34.56088840,34.44081960,34.09219815,34.21376999,34.10658959
122.0000000000,34.51207712,34.77093298,34.80215141,35.05455673,34.47688319,34.33477469,34.37376139,34.22684139,34.55078573,34.41618569,34.12813045,34.18661142,34.07311698,34.44755774,34.77792323,34.80909365,35.06076133,34.48442088,34.33928038,34.38134194,34.17214222,34.55799903,34.42368206,34.07595949,34.19414009,34.08085676
153.0000000000,34.45677363,34.71356405,34.74501454,35.01070124,34.39380988,34.25835263,34.28599452,34.14934265,34.47001225,34.32362987,34.05881069,34.10576313,33.99416275,34.39894904,34.72067037,34.75211778,35.01728729,34.40146624,34.26316986,34.29375547,34.10407845,34.47769303,34.33150072,34.01473708,34.11324328,34.00164559
183.0000000000,34.36747647,34.60757788,34.63752392,34.90345513,34.27111423,34.14966632,34.15801134,34.04106396,34.33683420,34.18550826,33.96058016,33.99032251,33.88766121,34.32064062,34.61444425,34.64444041,34.91024325,34.27830441,34.15445416,34.16533076,34.00868395,34.34443279,34.19310941,33.92775900,33.99718472,33.89432918
214.0000000000,34.26409551,34.47622241,34.50317897,34.75526161,34.13584048,34.03267075,34.01789716,33.92580927,34.18014775,34.03201249,33.85496153,33.86574167,33.77714700,34.23016327,34.48251713,34.50956476,34.76195694,34.14208688,34.03708922,34.02425292,33.90689869,34.18711151,34.03874841,33.83403215,33.87157418,33.78263903
245.0000000000,34.17590263,34.35633745,34.37956821,34.60683796,34.02549199,33.94007834,33.90474552,33.83563178,34.04390630,33.90549521,33.77191280,33.76675263,33.69306854,34.15323012,34.36196872,34.38531575,34.61324554,34.03070568,33.94401319,33.91000876,33.82707234,34.04996625,33.91114787,33.76013607,33.77153068,33.69748429
275.0000000000,34.12596056,34.28088992,34.30081103,34.50073253,33.96670868,33.89339426,33.84552255,33.79123792,33.96275555,33.83606336,33.73146318,33.71674856,33.65403104,34.11001995,34.28597191,34.30600070,34.50670411,33.97116537,33.89698752,33.84996317,33.78772987,33.96797294,33.84081445,33.72408645,33.72084324,33.65785555
