time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-646.9174652406703,-476.6246027153186,1207.746384366211
32.00000000000,-867.0552194790188,-628.8779713320772,1630.352802136696
61.00000000000,-1039.078575962535,-760.1902467704126,1940.131818409666
92.00000000000,-1123.269141978494,-822.1170069222196,2075.919586584987
122.0000000000,-1089.929701004741,-795.4220032276611,1991.858014949360
153.0000000000,-940.9690858431696,-679.6866145976425,1696.517994201645
183.0000000000,-724.5194971012837,-516.3518593591840,1288.199279527721
214.0000000000,-491.5523546527565,-345.8256739828922,866.6816532050944
245.0000000000,-305.9715120595508,-213.6995572800613,546.8470177870169
275.0000000000,-208.6901222755939,-149.4569900172565,400.0126297335731
306.0000000000,-227.0263278282903,-164.4749058911188,460.9198354428841
336.0000000000,-360.5408887166783,-264.1122492327642,726.1189154903691
367.0000000000,-581.2862154316125,-428.2375565963186,1137.801549803032
398.0000000000,-819.6363281910088,-605.3519050780842,1567.179385680822
426.0000000000,-992.7473400345887,-733.7179192049065,1865.922363109914
457.0000000000,-1070.853043599633,-788.6347180638130,1980.220394030839
487.0000000000,-1026.574427219894,-753.0081565884590,1870.856972670668
518.0000000000,-863.4150904524425,-629.5701100832617,1552.949254381920
548.0000000000,-640.1386915482281,-464.2462829642415,1139.983790764445
579.0000000000,-412.9213734286407,-300.3410718229942,738.5698971446679
610.0000000000,-252.3672715835329,-187.4911802585988,471.9761897549218
640.0000000000,-211.4942519314748,-159.3155619509466,424.9130785638299
671.0000000000,-283.8194376504264,-212.0502184002468,581.1536677013306
701.0000000000,-463.6150695350994,-343.7560181177801,923.3648531941313
732.0000000000,-701.8710521547183,-519.4453575312234,1358.491287170622
