time,TRGW-2-2-15,TRGW-2-2-9,TRGW-2-3-8,TRGW-2-9-1,TRGW-2-13-10,TRGW-2-15-16,TRGW-2-21-10,TRGW-2-22-15,TRGW-2-24-4,TRGW-2-26-6,TRGW-2-29-15,TRGW-2-33-7,TRGW-2-34-10,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.18648137,34.53772863,34.57416211,35.08964905,34.22896415,34.04955427,34.19338664,33.99404936,34.62717614,34.43837786,33.85906066,34.33143906,34.20355580,34.10574273,34.54166763,34.57756935,35.09458345,34.23139944,34.05448622,34.20510441,33.90887149,34.63124466,34.45071562,33.79173245,34.34087330,34.20764471
3683.500000000,34.18970100,34.51971592,34.56701516,35.31618693,34.36798475,34.16658887,34.39855978,34.16320649,34.90189005,34.70871612,33.96415867,34.60889473,34.46269004,34.10855089,34.52177822,34.57017955,35.31748842,34.37133435,34.17070705,34.41030098,34.01634508,34.90579068,34.71247669,33.86040344,34.61971746,34.46688353
3712.500000000,34.16891341,34.48670722,34.53074702,35.34742527,34.26345022,34.14834902,34.36869288,34.17598442,34.96333830,34.74960970,33.95984125,34.62764459,34.47383639,34.09683502,34.48956081,34.53489542,35.35401405,34.26468879,34.15273042,34.37342591,34.02554542,34.96720713,34.75583228,33.85656373,34.63690585,34.47593106
3743.500000000,34.28135472,34.64349888,34.68639816,35.33192882,34.30213218,34.17009928,34.35847824,34.13088381,34.92905651,34.74070028,33.93175506,34.63310350,34.45171489,34.16763723,34.64699733,34.69668726,35.33693158,34.30284388,34.17273583,34.36564731,33.99080205,34.93333358,34.74796258,33.84021423,34.64419619,34.45535258
3773.500000000,34.19108039,34.51798109,34.56251497,35.39886140,34.25819993,34.12712738,34.35973303,34.10399164,34.92409293,34.72703773,33.90833542,34.61501741,34.44793684,34.10977321,34.52073083,34.56744071,35.40309060,34.25954123,34.13537099,34.37139828,33.97223935,34.92714404,34.73760625,33.82488472,34.62490667,34.45580266
3804.500000000,34.17874610,34.49749388,34.53149751,35.38860625,34.22334125,34.07006411,34.24567063,34.02945707,34.84330473,34.60723244,33.86421185,34.48598467,34.29565859,34.10137924,34.50229314,34.53485371,35.39493963,34.22554582,34.07408641,34.25275432,33.92377184,34.84733255,34.61695944,33.79538702,34.49428922,34.29958135
3834.500000000,34.10566072,34.38206294,34.41994977,35.25838370,34.07761890,33.97352663,34.12212390,33.94694067,34.72948063,34.47899890,33.81995895,34.36849509,34.19979064,34.05767611,34.38555300,34.42398339,35.26574245,34.07912643,33.97898985,34.12907394,33.86984591,34.73314691,34.48862107,33.76253976,34.37501489,34.20200605
3865.500000000,34.05842081,34.28622338,34.32103507,35.13714811,33.96950653,33.89530298,34.00128968,33.85053111,34.57127777,34.30940642,33.76669417,34.21227371,34.05570089,34.02881793,34.28849661,34.32468195,35.14494174,33.97070477,33.90118145,34.00653108,33.80887327,34.57528891,34.31841303,33.72466606,34.22053076,34.05853017
3896.500000000,34.02535524,34.21536321,34.24627817,34.99841002,33.90365244,33.83635436,33.90495512,33.78272029,34.38946405,34.16394232,33.73337443,34.09966237,33.96104897,34.00946381,34.21726943,34.24938439,35.00597950,33.90455174,33.83991522,33.91050079,33.76546061,34.39226609,34.17188468,33.70144495,34.10541720,33.96368633
3926.500000000,34.02605215,34.18499090,34.21142478,34.88086254,33.89437889,33.83819170,33.87774521,33.78923562,34.27533163,34.06860526,33.72200814,34.02621044,33.92731553,34.01044349,34.18633638,34.21366570,34.88780335,33.89488109,33.83996464,33.88147930,33.77096937,34.27748265,34.07424394,33.69305979,34.03073358,33.92862417
3957.500000000,34.06891033,34.29750179,34.31960480,34.87921863,34.00100538,33.90388691,34.01181567,33.85680069,34.39064803,34.22203902,33.75793683,34.17437419,34.01885193,34.03586333,34.30336168,34.32414547,34.88436252,34.00162991,33.90445065,34.02238069,33.81494204,34.39278975,34.23062395,33.72009941,34.18826247,34.01923880
3987.500000000,34.07105857,34.25497447,34.28069509,34.82948650,34.03400019,33.94600745,34.03600227,33.92060910,34.38622638,34.23704049,33.80054694,34.24426607,34.19407123,34.03866552,34.25654860,34.28305707,34.83415396,34.03497733,33.94861599,34.03962495,33.85463275,34.38842041,34.24273864,33.74997942,34.25073595,34.19930903
4018.500000000,34.10981204,34.29862048,34.31940925,34.87091145,34.07023079,33.99133433,34.08275277,33.95539422,34.44605456,34.34374888,33.84797419,34.35813957,34.26341351,34.06346495,34.30087694,34.32206582,34.87319722,34.07078509,33.99703042,34.08469174,33.87486795,34.44722681,34.34810856,33.77890607,34.36657353,34.26603696
4049.500000000,34.13979767,34.36719835,34.40072480,34.96111100,34.13803851,34.03693640,34.12005912,33.98959384,34.50801922,34.38549660,33.84436465,34.38897174,34.26344067,34.08105659,34.36871176,34.40183389,34.96506096,34.13890750,34.04246981,34.12140827,33.90049177,34.50860810,34.39050892,33.78096322,34.40059814,34.26597499
4077.500000000,34.18306098,34.54409651,34.58546532,35.12644618,34.21799168,34.06686518,34.16759115,34.02779048,34.56204854,34.40614148,33.86995022,34.36800555,34.26381461,34.10601962,34.55006252,34.59460631,35.12907767,34.21921784,34.07173243,34.17167385,33.92415561,34.56299665,34.40788093,33.80017254,34.37335722,34.26583043
4108.500000000,34.15612947,34.47778583,34.52278127,35.18659731,34.22364086,34.08001202,34.22851547,34.04031144,34.60245776,34.42654131,33.87912201,34.37411916,34.27222117,34.08939000,34.48127602,34.52750187,35.19327582,34.22588604,34.08440145,34.24406768,33.93173687,34.60338602,34.42860367,33.80527557,34.37988629,34.27460926
4138.500000000,34.14353795,34.42313614,34.46198127,35.19822123,34.19989865,34.06007275,34.19932386,34.03678960,34.67090892,34.48000698,33.87059394,34.46927195,34.29316023,34.08180273,34.42497590,34.46505228,35.20250949,34.20234534,34.06557123,34.20532153,33.92970752,34.67292139,34.48194777,33.79812962,34.48403857,34.29421639
4169.500000000,34.10371380,34.34270937,34.37771944,35.08790222,34.08169148,33.97780081,34.09257643,33.94448321,34.56414717,34.37808853,33.81719233,34.32479942,34.19411631,34.05763769,34.34474280,34.38102224,35.09431013,34.08297895,33.98197791,34.09740029,33.86984905,34.56641560,34.38779114,33.76131584,34.33278111,34.19629099
4199.500000000,34.06540695,34.27497233,34.30690144,35.03488360,34.01971702,33.92319198,34.01777437,33.88186122,34.46708053,34.26887637,33.79127767,34.24349530,34.14827763,34.03309778,34.27686318,34.30996528,35.03959959,34.02092317,33.92661931,34.02175726,33.82975795,34.46902150,34.27587242,33.74308131,34.24992978,34.15555245
4230.500000000,34.06396482,34.25358723,34.27989590,34.95869903,33.97971643,33.89968907,33.95988522,33.85119315,34.38989760,34.18372957,33.75636561,34.13149649,34.01596399,34.03161964,34.25564343,34.28251684,34.96388451,33.98045498,33.90316686,33.96331317,33.81166006,34.39280552,34.18977551,33.71991736,34.13713885,34.01886432
4261.500000000,34.06848286,34.23960011,34.25857922,34.85189135,33.93959055,33.86414337,33.88691755,33.79433361,34.26640938,34.05522599,33.72560789,34.02982301,33.93494477,34.03661222,34.24176988,34.26074691,34.85820796,33.94030495,33.86697838,33.89074665,33.77660029,34.26868829,34.06166072,33.69967679,34.03592115,33.93689893
4291.500000000,34.03013229,34.18778215,34.21217198,34.86190084,33.89748545,33.83328649,33.84237154,33.76441383,34.20667159,34.00809483,33.70898733,33.99727290,33.91340371,34.01336910,34.18944330,34.21508935,34.87288986,33.89822441,33.83656268,33.84546439,33.75710485,34.20861655,34.01163301,33.68692436,34.00209878,33.91551398
4322.500000000,34.16536023,34.37126562,34.40349108,35.01872758,34.08006424,33.94494380,33.92635399,33.83689309,34.25641479,34.08461386,33.75559308,34.07039136,33.97205050,34.09900075,34.37168976,34.40841245,35.02945736,34.08124091,33.94836410,33.92741499,33.80848671,34.25775634,34.08813608,33.72647805,34.07701999,33.97356656
4352.500000000,34.15952287,34.43670697,34.46999143,35.01514625,34.12696247,34.01227248,34.09260287,33.95907634,34.41347572,34.27900138,33.81656750,34.22389780,34.12211104,34.09102323,34.43970421,34.47951577,35.02257772,34.12780251,34.01581002,34.10498695,33.88758443,34.41359923,34.28571321,33.76678681,34.22715417,34.12303424
4383.500000000,34.25700826,34.58049525,34.61752438,35.20402253,34.17298549,34.02715742,34.08603539,33.95890655,34.43542029,34.27864927,33.83834764,34.26310639,34.18652228,34.15349829,34.58218608,34.62277686,35.21662073,34.17384815,34.02883569,34.09068129,33.88496648,34.43616889,34.28172682,33.78161614,34.26514166,34.18713405
