time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-1814.417002006345,-1231.733818361985,3130.256562020730
32.00000000000,-1922.860682832522,-1463.762382539383,3526.986726962597
61.00000000000,-2115.802114153052,-1448.222953287545,3715.252713732759
92.00000000000,-1662.528068680281,-1257.402042707924,3060.596293981192
122.0000000000,-1505.035190613968,-1224.469924851932,2861.611251225758
153.0000000000,-1238.730693156352,-902.7739098410212,2237.129173266976
183.0000000000,-1008.324610449576,-801.5279816258083,1848.387745594772
214.0000000000,-710.8297775547815,-594.4893979462512,1324.979970632730
245.0000000000,-392.6543184596367,-400.1948011598177,800.8883956383088
275.0000000000,-285.1436502038956,-320.7317003006402,626.2134614612546
306.0000000000,-686.7159239287490,-742.3433839692807,1460.386382012651
336.0000000000,-763.2739674596309,-706.5091819228310,1522.594973760453
367.0000000000,-660.7927603092113,-588.8549243702155,1348.991815338496
398.0000000000,-944.7202271975374,-1011.590917665103,2070.168906979473
426.0000000000,-1076.168527256942,-1133.961991602067,2323.262714101289
457.0000000000,-1547.279513491959,-1554.368365788343,3185.496144206909
487.0000000000,-1206.414212333630,-1091.030172988616,2387.644498725265
518.0000000000,-1735.238952564861,-1414.596553904270,3190.583226933344
548.0000000000,-1109.535927187189,-824.1395822371140,1948.289605862322
579.0000000000,-687.9466927546185,-542.4728078404261,1235.865834396686
610.0000000000,-526.1956455012643,-408.6873313684543,954.0128602641422
640.0000000000,-364.6492448931533,-298.5591636683329,695.3726514641037
671.0000000000,-605.5358476659870,-306.7478337772613,965.2182416720674
701.0000000000,-736.3891747507281,-617.9344434495786,1428.112333298892
732.0000000000,-933.0009839366824,-611.8292417192259,1650.378750696464
