totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-166679.25,680.2865,0.01,8019488.0,-4488025.0,3290.0151,489182.2,680.0,-3856575.2
3683.5,-170912.0,1047.5815,0.01,8145059.0,-4538509.5,3030.0142,434168.84,1048.0,-3871788.8
3712.5,-177292.5,1259.9443,0.01,8284290.0,-4596955.0,2760.0342,376305.72,1260.0,-3887848.2
3743.5,-185799.0,1472.4124,0.01,8429836.0,-4667437.0,2545.0732,330127.3,1473.0,-3907800.0
3773.5,-193168.0,1384.9037,0.01,8521922.0,-4731942.0,2573.542,335547.5,1385.0,-3933548.0
3804.5,-199698.0,1272.009,0.01,8607742.0,-4791805.5,2687.4507,357867.8,1272.0,-3975522.5
3834.5,-204549.75,1118.6135,0.01,8665755.0,-4843883.5,2842.0415,391737.2,1119.0,-4010782.5
3865.5,-207601.5,841.675,0.01,8706030.0,-4888588.0,3071.962,440421.12,841.0,-4052492.0
3896.5,-208096.75,317.152,0.0,8740887.0,-4918453.0,3411.166,510844.88,318.0,-4128276.5
3926.5,-206877.0,54.0129,0.0,8774483.0,-4940019.5,3637.2275,559105.0,54.0,-4190274.2
3957.5,-205725.0,137.2495,0.0,8844365.0,-4962925.5,3651.0938,562661.6,137.0,-4241890.5
3987.5,-205427.75,309.2221,0.0,8913812.0,-4990249.0,3576.7715,548698.6,310.0,-4270101.5
4018.5,-209308.0,659.7314,0.01,9072748.0,-5037400.5,3169.3374,462567.5,659.0,-4291116.5
4049.5,-214588.5,954.8579,0.01,9197079.0,-5093642.0,2933.7632,413350.56,955.0,-4304178.5
4077.5,-219768.0,1029.8761,0.01,9288755.0,-5147205.5,2829.2095,391638.8,1030.0,-4315219.5
4108.5,-226230.0,1140.8748,0.01,9393599.0,-5209659.0,2729.5142,370451.38,1141.0,-4329750.0
4138.5,-231289.5,1014.8969,0.01,9455460.0,-5265018.5,2824.7593,390702.12,1015.0,-4351664.5
4169.5,-235551.0,779.9997,0.01,9516812.0,-5315666.5,2965.9097,418759.38,780.0,-4386540.0
4199.5,-237698.25,536.0197,0.0,9548978.0,-5353410.5,3235.1099,473560.25,536.0,-4434128.5
4230.5,-238221.5,345.7571,0.0,9581690.0,-5382801.5,3493.041,527157.25,346.0,-4490972.0
4261.5,-237797.0,192.6392,0.0,9625155.0,-5408301.5,3612.7744,554304.0,192.0,-4536780.5
4291.5,-237008.5,-56.1951,-0.0,9686363.0,-5431332.5,3667.6104,566585.4,-56.0,-4588331.0
4322.5,-236134.75,-90.7775,-0.0,9752977.0,-5454674.5,3684.6558,570550.94,-91.0,-4636494.0
4352.5,-236607.0,181.6774,0.0,9845140.0,-5484185.0,3536.8926,539369.06,182.0,-4667072.0
4383.5,-239975.75,667.7356,0.0,9980349.0,-5528722.5,3224.2485,473750.94,667.0,-4687958.0
