,sidx,idx_strs,xy,x,y,pargp4,parval1_4,4
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,0.4333733783353991286801942806050647050142288208007812500000000000000000000000
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,1.6657137121789200584487389278365299105644226074218750000000000000000000000000
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,1.0346841189305724384439599816687405109405517578125000000000000000000000000000
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,5.431747166863005737980074627557769417762756347656250000000000000000000000000
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,1.4515271226789354663821995927719399333000183105468750000000000000000000000000
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,1.1518046354806878994736507593188434839248657226562500000000000000000000000000
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,0.8624411367860365107418374464032240211963653564453125000000000000000000000000
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,1.243708711510928877075343734759371727705001831054687500000000000000000000000
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,1.379066570497519572668920773139689117670059204101562500000000000000000000000
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,0.725252782162305709157124056218890473246574401855468750000000000000000000000
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,1.450528076258009280152805331454146653413772583007812500000000000000000000000
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,1.081650489346507315602252674580086022615432739257812500000000000000000000000
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,2.912853140271398189042884041555225849151611328125000000000000000000000000000
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,0.886195025410149050948405147209996357560157775878906250000000000000000000000
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,1.371480005951646541362265452335122972726821899414062500000000000000000000000
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,2.4328730521802093278438405832275748252868652343750000000000000000000000000000
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,0.4258621298805742583226674469187855720520019531250000000000000000000000000000
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,0.7820160997369653976818426599493250250816345214843750000000000000000000000000
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,3.601605259127393043883103018742986023426055908203125000000000000000000000000
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,0.224117297785897368056495793098292779177427291870117187500000000000000000000
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,0.9622804929430943676749166115769185125827789306640625000000000000000000000000
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,3.300294642041542658716934965923428535461425781250000000000000000000000000000
