,sidx,idx_strs,pargp3,parval1_3,3
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
22,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
23,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
24,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
25,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
26,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
27,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
28,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
29,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbheadcn,0.0,0.51365682143006807791607570834457874298095703125000000
