,sidx,idx_strs,xy,x,y,pargp9,parval1_9,9
0,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,"(3875.0, 7875.0)",3875.0,7875.0,sfrcondgr,1.0,1.016411819009602757191146338300313800573348999023437500000000000000000000000
1,"(22, 22, 15)",idx0:22_idx1:22_idx2:15,"(3875.0, 4375.0)",3875.0,4375.0,sfrcondgr,1.0,0.59589287999331630452104491268983110785484313964843750000000000000000000000000
2,"(15, 15, 15)",idx0:15_idx1:15_idx2:15,"(3875.0, 6125.0)",3875.0,6125.0,sfrcondgr,1.0,1.05598003991460420714076917647616937756538391113281250000000000000000000000000
3,"(31, 31, 15)",idx0:31_idx1:31_idx2:15,"(3875.0, 2125.0)",3875.0,2125.0,sfrcondgr,1.0,2.95059162745240799452517421741504222154617309570312500000000000000000000000000
4,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,"(3875.0, 7625.0)",3875.0,7625.0,sfrcondgr,1.0,0.868177763844127814429896261572139337658882141113281250000000000000000000000
5,"(21, 21, 15)",idx0:21_idx1:21_idx2:15,"(3875.0, 4625.0)",3875.0,4625.0,sfrcondgr,1.0,0.52371113389142276428600553117576055228710174560546875000000000000000000000000
6,"(16, 16, 15)",idx0:16_idx1:16_idx2:15,"(3875.0, 5875.0)",3875.0,5875.0,sfrcondgr,1.0,1.07335680613179418330105363565962761640548706054687500000000000000000000000000
7,"(30, 30, 15)",idx0:30_idx1:30_idx2:15,"(3875.0, 2375.0)",3875.0,2375.0,sfrcondgr,1.0,1.54724980567810210807522253162460401654243469238281250000000000000000000000000
8,"(23, 23, 15)",idx0:23_idx1:23_idx2:15,"(3875.0, 4125.0)",3875.0,4125.0,sfrcondgr,1.0,0.60667000393204617569864467441220767796039581298828125000000000000000000000000
9,"(32, 32, 15)",idx0:32_idx1:32_idx2:15,"(3875.0, 1875.0)",3875.0,1875.0,sfrcondgr,1.0,2.86534595233248268186798668466508388519287109375000000000000000000000000000000
10,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,"(3875.0, 7125.0)",3875.0,7125.0,sfrcondgr,1.0,0.73050758135596438602732405342976562678813934326171875000000000000000000000000
11,"(19, 19, 15)",idx0:19_idx1:19_idx2:15,"(3875.0, 5125.0)",3875.0,5125.0,sfrcondgr,1.0,0.92419671038178596855772184426314197480678558349609375000000000000000000000000
12,"(17, 17, 15)",idx0:17_idx1:17_idx2:15,"(3875.0, 5625.0)",3875.0,5625.0,sfrcondgr,1.0,0.73287688407799278511589591289521194994449615478515625000000000000000000000000
13,"(29, 29, 15)",idx0:29_idx1:29_idx2:15,"(3875.0, 2625.0)",3875.0,2625.0,sfrcondgr,1.0,0.72853948915684907383649715484352782368659973144531250000000000000000000000000
14,"(24, 24, 15)",idx0:24_idx1:24_idx2:15,"(3875.0, 3875.0)",3875.0,3875.0,sfrcondgr,1.0,0.38402993001498847425168037261755671352148056030273437500000000000000000000000
15,"(33, 33, 15)",idx0:33_idx1:33_idx2:15,"(3875.0, 1625.0)",3875.0,1625.0,sfrcondgr,1.0,3.10455965517748833093492066836915910243988037109375000000000000000000000000000
16,"(38, 38, 15)",idx0:38_idx1:38_idx2:15,"(3875.0, 375.0)",3875.0,375.0,sfrcondgr,1.0,1.12343005761904457528999046189710497856140136718750000000000000000000000000000
17,"(4, 4, 15)",idx0:4_idx1:4_idx2:15,"(3875.0, 8875.0)",3875.0,8875.0,sfrcondgr,1.0,0.911356927516371095876479557773564010858535766601562500000000000000000000000
18,"(2, 2, 15)",idx0:2_idx1:2_idx2:15,"(3875.0, 9375.0)",3875.0,9375.0,sfrcondgr,1.0,0.566838900302840342781962590379407629370689392089843750000000000000000000000
19,"(25, 25, 15)",idx0:25_idx1:25_idx2:15,"(3875.0, 3625.0)",3875.0,3625.0,sfrcondgr,1.0,0.54619471351482107301933410781202837824821472167968750000000000000000000000000
20,"(37, 37, 15)",idx0:37_idx1:37_idx2:15,"(3875.0, 625.0)",3875.0,625.0,sfrcondgr,1.0,1.29507187075429386347025229042628780007362365722656250000000000000000000000000
21,"(27, 27, 15)",idx0:27_idx1:27_idx2:15,"(3875.0, 3125.0)",3875.0,3125.0,sfrcondgr,1.0,0.55723449907668687330897228093817830085754394531250000000000000000000000000000
22,"(35, 35, 15)",idx0:35_idx1:35_idx2:15,"(3875.0, 1125.0)",3875.0,1125.0,sfrcondgr,1.0,2.72666960576026395912663247145246714353561401367187500000000000000000000000000
23,"(10, 10, 15)",idx0:10_idx1:10_idx2:15,"(3875.0, 7375.0)",3875.0,7375.0,sfrcondgr,1.0,0.91692851540526909559503110358491539955139160156250000000000000000000000000000
24,"(12, 12, 15)",idx0:12_idx1:12_idx2:15,"(3875.0, 6875.0)",3875.0,6875.0,sfrcondgr,1.0,1.33789730311393806339026468776864930987358093261718750000000000000000000000000
25,"(18, 18, 15)",idx0:18_idx1:18_idx2:15,"(3875.0, 5375.0)",3875.0,5375.0,sfrcondgr,1.0,1.26081841601957722609483880660263821482658386230468750000000000000000000000000
26,"(20, 20, 15)",idx0:20_idx1:20_idx2:15,"(3875.0, 4875.0)",3875.0,4875.0,sfrcondgr,1.0,0.96195680969278862804117125051561743021011352539062500000000000000000000000000
27,"(0, 0, 15)",idx0:0_idx1:0_idx2:15,"(3875.0, 9875.0)",3875.0,9875.0,sfrcondgr,1.0,1.265441778034301023581065237522125244140625000000000000000000000000000000000
28,"(14, 14, 15)",idx0:14_idx1:14_idx2:15,"(3875.0, 6375.0)",3875.0,6375.0,sfrcondgr,1.0,1.12474352027188317926231775345513597130775451660156250000000000000000000000000
29,"(13, 13, 15)",idx0:13_idx1:13_idx2:15,"(3875.0, 6625.0)",3875.0,6625.0,sfrcondgr,1.0,1.32335090814912703649497416336089372634887695312500000000000000000000000000000
30,"(1, 1, 15)",idx0:1_idx1:1_idx2:15,"(3875.0, 9625.0)",3875.0,9625.0,sfrcondgr,1.0,0.952139695483388504015920261736027896404266357421875000000000000000000000000
31,"(6, 6, 15)",idx0:6_idx1:6_idx2:15,"(3875.0, 8375.0)",3875.0,8375.0,sfrcondgr,1.0,0.593102567658536639072508478420786559581756591796875000000000000000000000000
32,"(26, 26, 15)",idx0:26_idx1:26_idx2:15,"(3875.0, 3375.0)",3875.0,3375.0,sfrcondgr,1.0,0.42136745445027878886889993736986070871353149414062500000000000000000000000000
33,"(28, 28, 15)",idx0:28_idx1:28_idx2:15,"(3875.0, 2875.0)",3875.0,2875.0,sfrcondgr,1.0,0.53997041261162470604517693573143333196640014648437500000000000000000000000000
34,"(34, 34, 15)",idx0:34_idx1:34_idx2:15,"(3875.0, 1375.0)",3875.0,1375.0,sfrcondgr,1.0,1.65001280128171678995840920833870768547058105468750000000000000000000000000000
35,"(36, 36, 15)",idx0:36_idx1:36_idx2:15,"(3875.0, 875.0)",3875.0,875.0,sfrcondgr,1.0,1.34525632073044021375096690462669357657432556152343750000000000000000000000000
36,"(5, 5, 15)",idx0:5_idx1:5_idx2:15,"(3875.0, 8625.0)",3875.0,8625.0,sfrcondgr,1.0,0.668260977843839198975217641418566927313804626464843750000000000000000000000
37,"(7, 7, 15)",idx0:7_idx1:7_idx2:15,"(3875.0, 8125.0)",3875.0,8125.0,sfrcondgr,1.0,0.732744987605480346815056691411882638931274414062500000000000000000000000000
38,"(39, 39, 15)",idx0:39_idx1:39_idx2:15,"(3875.0, 125.0)",3875.0,125.0,sfrcondgr,1.0,1.16790046867293884069738396647153422236442565917968750000000000000000000000000
39,"(3, 3, 15)",idx0:3_idx1:3_idx2:15,"(3875.0, 9125.0)",3875.0,9125.0,sfrcondgr,1.0,0.584405923082022327186280108435312286019325256347656250000000000000000000000
