time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-560.8650439432100,-670.0008302456265,1302.062540826031
3683.500000000,-751.9702869677757,-844.7261145382467,1741.930057820390
3712.500000000,-951.9918387643837,-1034.870970580964,2112.527943117563
3743.500000000,-1102.335706090872,-1152.320982227046,2405.833931936209
3773.500000000,-1070.070711871875,-1088.233534394057,2305.536644001780
3804.500000000,-960.2709691592562,-987.2996909235060,2030.611790813092
3834.500000000,-873.7701961307731,-876.8226740711835,1785.682522901045
3865.500000000,-724.0703776294537,-740.9425807256474,1471.781015500475
3896.500000000,-445.6045416422148,-560.9700888510836,1014.722949730924
3926.500000000,-320.0264898530415,-425.2743647946704,773.0994854327255
3957.500000000,-304.5325692628254,-433.0254434314987,773.0732142822587
3987.500000000,-379.5482021797679,-513.9274359565466,948.1296680176947
4018.500000000,-686.0698767738234,-833.1857884740266,1614.386669300542
4049.500000000,-853.8656428668986,-936.8350760148908,1922.874598136003
4077.500000000,-927.3526311465605,-976.7405114571136,2036.619330760960
4108.500000000,-985.1386541184144,-1022.060104711255,2110.953931649886
4138.500000000,-921.6648029834834,-934.0736280420512,1952.655596639914
4169.500000000,-800.0205346120555,-851.5249031811570,1685.409842838950
4199.500000000,-606.6375568436024,-682.6985696234314,1304.549839416773
4230.500000000,-423.0124014262821,-557.1181871478727,980.5933046836636
4261.500000000,-340.5078338000166,-498.7870934979056,837.8139529679071
4291.500000000,-299.1892583567280,-473.3129943078734,788.9854461024291
4322.500000000,-276.2622369624483,-480.6743900731511,797.7370661029731
4352.500000000,-393.2865681334080,-568.0567044420065,1015.910769534076
4383.500000000,-622.6498660527001,-774.1105623060241,1482.459063295793
