Timestamp,"After this experience, would you prefer:",How much were you able to keep up with the self-study notebooks?,How comfortable were you with PEST++ before this class,How comfortable are you with PEST++ after this class,Please provide feedback that we can use to improve the GMDSI educational experience including the materials and the format and execution of this 5-week experience.
10/13/2023 8:29:39,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,3,2,
10/13/2023 8:35:59,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,5,3,
10/13/2023 8:46:13,in-person intensive workshop (one week - ~40 hours),I did most of them,3,2,
10/13/2023 8:47:12,this hybrid self-guided approach with few online meetings (as we have experienced now),I did them all,3,2,Specific to these workshops a bit more on presenting results and interpretation would have been great. Explicitly stating what conclusions can be made from the examples and what cannot. Linking things back to changes in input files is also a useful reminder to people of what the scripts are actually doing.
10/13/2023 8:48:44,this hybrid self-guided approach with few online meetings (as we have experienced now),I did them all,3,4,
10/13/2023 9:03:36,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,3,2,
10/13/2023 9:04:54,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,2,2,Subcutaneous administration
10/13/2023 9:07:06,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,1,3,"That training was truly fantastic! A lot to digest and unfortunatly not enough available time for me to digest it all. But with all the very well documented notebooks, I'll review it at my own pace and will integrate PEST++ in my routine workflow. Thanks heaps for organising the training.    "
10/13/2023 9:07:13,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,4,2,"A brief dive into how to set up an unstructured grid PEST++ IES even it if it just a ""here is the work-flow that could work"", even if it isn't structured notebooks would appreciated. "
10/13/2023 9:13:46,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,3,4,
10/13/2023 9:43:11,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,2,3,"This course illustrated where I want to get to/aspirational goals and was presented really well, the course was very well laid out and the notebooks are an incredibly helpful resource. However, I am still many steps behind and still using PEST (no ++ yet). So even though I could follow and learn a lot, some of the practical problems I am having with the projects I am working on probably relate to the first couple of weeks. "
10/13/2023 9:48:02,in-person intensive workshop (one week - ~40 hours),I did them all,3,2,"The ""hybrid"" approach was good. Better than any other PEST course so far definitely. "
10/15/2023 21:45:02,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,1,2,
10/17/2023 4:22:25,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,4,3,"The sessions were awesome and the notebooks are great. I definitely let myself down in falling a bit behind in not always completing all of the ""homework"" notebooks and not trying to apply it to a problem of my own. I definitely feel much more comfortable with the concepts but still feel very fuzzy on actually applying this to a ""real"" problem. Very grateful for the recordings so I can revisit all this material and sit with it a bit more. I'm curious to how an intensive, all at once, live in the firehose, workshop would feel and if that would lead to more engagement and retention of material. I'm also looking forward to using the forum and think that's a great space.  Big thanks to everyone who worked on this course."
10/17/2023 4:29:41,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,4,3,"Would it make sense to do a webinar every 6ish months sort of going over ""what's new"" in development of flopy/pyemu?  And then quick examples of how those new things can be used."
10/19/2023 6:47:31,this hybrid self-guided approach with few online meetings (as we have experienced now),I did most of them,3,4,More notebooks!
10/20/2023 1:28:40,this hybrid self-guided approach with few online meetings (as we have experienced now),I did a bit but fell behind,4,3,
