time,elapsed_seconds,message
18:50:26,6.22e-05,PEST++ performance logger started
18:50:26,0.0010279,starting to process control file
18:50:28,1.05366,finished processing control file
18:50:28,0.403128,loading parcov
18:50:51,22.9182,updating super parameter transformation, requires formation and SVD of JtQJ
18:50:51,0.638532,starting REDSVD
18:50:52,0.0240898,retrieving REDSVD components
18:50:52,0.0006142,triming REDSVD components to 80elements
18:50:52,0.0007081,done REDSVD
18:50:52,0.425258,beginning iteration 1
18:50:52,0.0185648,computing upgrade vectors
18:50:52,0.0721798,beginning upgrade vector calculations, lambda = 0.1
18:50:52,0.119375,forming JtQJ matrix
18:50:52,0.0154814,commencing to scale JtQJ matrix- first SVD...
18:50:52,3.28e-05,starting REDSVD
18:50:52,0.008048,retrieving REDSVD components
18:50:52,8.1e-05,triming REDSVD components to 80elements
18:50:52,0.0004918,done REDSVD
18:50:52,0.0007947,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:52,1.04e-05,JS
18:50:52,0.0028171,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:50:52,0.0148423,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:52,2.79e-05,commencing SVD factorization of lambda-scaled JtQJ
18:50:52,8.8e-06,starting REDSVD
18:50:52,0.0125523,retrieving REDSVD components
18:50:52,8.75e-05,triming REDSVD components to 80elements
18:50:52,9.67e-05,done REDSVD
18:50:52,1.81e-05,SVD factorization complete
18:50:52,0.0065331,commencing linear algebra multiplication to compute ugrade
18:50:52,1.83e-05,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80Vt info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:52,1.02e-05,U info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:52,1.8e-05,jac info: rows = 1775: cols = 80: size = 142000: nonzeros = 139680
18:50:52,0.0026115,linear algebra multiplication to compute ugrade complete
18:50:55,2.39055,beginning upgrade vector calculations, lambda = 1
18:50:55,0.118283,forming JtQJ matrix
18:50:55,0.0151653,commencing to scale JtQJ matrix- first SVD...
18:50:55,2.76e-05,starting REDSVD
18:50:55,0.0085027,retrieving REDSVD components
18:50:55,9.24e-05,triming REDSVD components to 80elements
18:50:55,9.33e-05,done REDSVD
18:50:55,0.0007624,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:55,1.05e-05,JS
18:50:55,0.0025131,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:50:55,0.0152938,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:55,2.61e-05,commencing SVD factorization of lambda-scaled JtQJ
18:50:55,8.8e-06,starting REDSVD
18:50:55,0.013281,retrieving REDSVD components
18:50:55,0.0001015,triming REDSVD components to 80elements
18:50:55,9.92e-05,done REDSVD
18:50:55,1.11e-05,SVD factorization complete
18:50:55,0.0053739,commencing linear algebra multiplication to compute ugrade
18:50:55,1.79e-05,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80Vt info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:55,1.02e-05,U info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:55,1.01e-05,jac info: rows = 1775: cols = 80: size = 142000: nonzeros = 139680
18:50:55,0.0025922,linear algebra multiplication to compute ugrade complete
18:50:57,2.42573,beginning upgrade vector calculations, lambda = 10
18:50:57,0.118593,forming JtQJ matrix
18:50:57,0.0154663,commencing to scale JtQJ matrix- first SVD...
18:50:57,2.72e-05,starting REDSVD
18:50:57,0.0082273,retrieving REDSVD components
18:50:57,9.28e-05,triming REDSVD components to 80elements
18:50:57,9.76e-05,done REDSVD
18:50:57,0.0007394,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:57,9.3e-06,JS
18:50:57,0.0028306,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:50:57,0.0144683,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:50:57,2.24e-05,commencing SVD factorization of lambda-scaled JtQJ
18:50:57,8.7e-06,starting REDSVD
18:50:57,0.0123248,retrieving REDSVD components
18:50:57,0.0001486,triming REDSVD components to 80elements
18:50:57,0.0001428,done REDSVD
18:50:57,6.53e-05,SVD factorization complete
18:50:57,0.0075367,commencing linear algebra multiplication to compute ugrade
18:50:57,2.15e-05,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80Vt info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:57,1.09e-05,U info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:50:57,9.9e-06,jac info: rows = 1775: cols = 80: size = 142000: nonzeros = 139680
18:50:57,0.0026187,linear algebra multiplication to compute ugrade complete
18:51:00,2.26073,beginning upgrade vector calculations, lambda = 100
18:51:00,0.118188,forming JtQJ matrix
18:51:00,0.0151067,commencing to scale JtQJ matrix- first SVD...
18:51:00,2.82e-05,starting REDSVD
18:51:00,0.0085479,retrieving REDSVD components
18:51:00,9.85e-05,triming REDSVD components to 80elements
18:51:00,0.00012,done REDSVD
18:51:00,0.0007602,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:51:00,1.05e-05,JS
18:51:00,0.0024367,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:51:00,0.017514,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:51:00,2.37e-05,commencing SVD factorization of lambda-scaled JtQJ
18:51:00,9.2e-06,starting REDSVD
18:51:00,0.0104775,retrieving REDSVD components
18:51:00,9.4e-05,triming REDSVD components to 80elements
18:51:00,9.5e-05,done REDSVD
18:51:00,1.18e-05,SVD factorization complete
18:51:00,0.0056632,commencing linear algebra multiplication to compute ugrade
18:51:00,1.49e-05,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80Vt info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:51:00,1.25e-05,U info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:51:00,1.03e-05,jac info: rows = 1775: cols = 80: size = 142000: nonzeros = 139680
18:51:00,0.0028028,linear algebra multiplication to compute ugrade complete
18:51:02,2.28659,beginning upgrade vector calculations, lambda = 1000
18:51:02,0.117629,forming JtQJ matrix
18:51:02,0.0163607,commencing to scale JtQJ matrix- first SVD...
18:51:02,2.87e-05,starting REDSVD
18:51:02,0.0090286,retrieving REDSVD components
18:51:02,9.48e-05,triming REDSVD components to 80elements
18:51:02,0.0001104,done REDSVD
18:51:02,0.0008222,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:51:02,1e-05,JS
18:51:02,0.0031373,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:51:02,0.0163958,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80
18:51:02,2.45e-05,commencing SVD factorization of lambda-scaled JtQJ
18:51:02,9.4e-06,starting REDSVD
18:51:02,0.0145576,retrieving REDSVD components
18:51:02,0.000171,triming REDSVD components to 80elements
18:51:02,0.000177,done REDSVD
18:51:02,2.76e-05,SVD factorization complete
18:51:02,0.0144568,commencing linear algebra multiplication to compute ugrade
18:51:02,3.76e-05,S info: rows = 80: cols = 80: size = 6400: nonzeros = 80Vt info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:51:02,2.05e-05,U info: rows = 80: cols = 80: size = 6400: nonzeros = 6400
18:51:02,2.54e-05,jac info: rows = 1775: cols = 80: size = 142000: nonzeros = 139680
18:51:02,0.0042964,linear algebra multiplication to compute ugrade complete
18:51:05,2.4398,LinearAnalysis::glm_iter_fosm
18:51:05,3.77e-05,starting FOSM uncertainty analyses for iteration 0
18:51:05,0.0191707,loading obscov
18:51:05,0.0017908,loading parcov
18:51:05,0.207016,setting predictions
18:51:05,4.19e-05,set_predictions
18:51:05,0.0003543,extracting prediction ONAME:SFR_OTYPE:LST_USECOL:GAGE_1_TIME:732.0 from jacobian
18:51:05,0.282755,extracting prediction ONAME:SFR_OTYPE:LST_USECOL:HEADWATER_TIME:732.0 from jacobian
18:51:06,0.297257,extracting prediction ONAME:SFR_OTYPE:LST_USECOL:TAILWATER_TIME:732.0 from jacobian
18:51:06,0.281852,extracting prediction ONAME:HDS_OTYPE:LST_USECOL:TRGW_0_9_1_TIME:732.0 from jacobian
18:51:06,0.281189,extracting prediction ONAME:HDS_OTYPE:LST_USECOL:TRGW_2_9_1_TIME:732.0 from jacobian
18:51:06,0.281351,parameter fosm calcs
18:51:06,3.08e-05,LinearAnalysis::calc_posterior
18:51:06,1.46e-05,LinearAnalysis::align
18:51:06,0.0082806,LinearAnalysis::prior_prediction_variance()::invert obscov
18:51:06,3.93e-05,inverting diagonal matrix in place
18:51:06,6.67e-05,LinearAnalysis::calc_posterior() form JtQJ
18:51:07,0.701162,LinearAnalysis::calc_posterior() invert prior parcov
18:51:07,0.0089757,LinearAnalysis::calc_posterior() form posterior parcov
18:51:07,0.0073232,LinearAnalysis::calc_posterior() invert posterior parcov
18:51:07,2.88e-05,inverting non-diagonal matrix in place
18:51:08,1.09423,forecast FOSM calcs
18:51:08,0.0008553,LinearAnalysis::prior_prediction_variance
18:51:08,0.0009664,LinearAnalysis::prior_prediction_variance
18:51:47,38.9599,completed iteration 1
18:51:48,1.11761,beginning iteration 2
18:51:48,0.0130493,commencing to build jacobian parameter sets
18:51:48,0.0085861,starting REDSVD
18:51:48,0.0254261,retrieving REDSVD components
18:51:48,0.0006725,triming REDSVD components to 80elements
18:51:48,0.0005985,done REDSVD
18:51:48,0.0244998,commencing to build jacobian parameter sets
18:51:54,5.58259,jacobian parameter sets built, commencing model runs
18:56:19,264.695,jacobian runs complete, processing runs
18:56:20,1.23357,saving jacobian and sen files
18:56:20,0.107996,computing upgrade vectors
18:56:20,0.0660828,beginning upgrade vector calculations, lambda = 0.1
18:56:20,0.109571,forming JtQJ matrix
18:56:20,0.0146419,commencing to scale JtQJ matrix- first SVD...
