time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-751.85,-531.46,1365.0
3683.500000000,-952.74,-674.01,1759.3
3712.500000000,-1109.7,-798.24,2046.9
3743.500000000,-1181.9,-854.51,2165.1
3773.500000000,-1138.0,-821.46,2064.4
3804.500000000,-983.15,-704.59,1762.1
3834.500000000,-762.56,-538.81,1347.4
3865.500000000,-525.84,-365.46,919.61
3896.500000000,-336.04,-231.42,593.85
3926.500000000,-233.77,-164.75,439.72
3957.500000000,-246.56,-177.45,492.82
3987.500000000,-373.50,-272.89,747.24
4018.500000000,-587.58,-433.43,1148.6
4049.500000000,-820.30,-607.99,1569.7
4077.500000000,-989.41,-734.45,1862.4
4108.500000000,-1067.3,-789.66,1976.7
4138.500000000,-1022.9,-753.98,1867.2
4169.500000000,-863.17,-633.32,1555.5
4199.500000000,-643.04,-470.05,1147.9
4230.500000000,-418.14,-307.11,749.90
4261.500000000,-257.96,-193.78,483.35
4291.500000000,-213.82,-163.68,431.21
4322.500000000,-283.85,-215.16,583.86
4352.500000000,-459.83,-344.76,920.05
4383.500000000,-693.44,-517.94,1347.9
