time,HEADWATER,TAILWATER,GAGE_1
1.0,-891.77,-209.43,1223.3
32.0,-845.37,-159.5,1154.6
61.0,-1111.5,-267.15,1558.4
92.0,-1107.9,-303.46,1568.3
122.0,-890.9,-238.6,1291.4
153.0,-866.28,-224.73,1210.1
183.0,-698.4,-119.42,914.31
214.0,-632.71,-73.313,772.41
245.0,-549.66,-8.1769,621.5
275.0,-502.76,12.343,572.3
306.0,-568.19,-30.866,694.09
336.0,-597.83,-24.702,760.99
367.0,-829.75,-161.22,1173.9
398.0,-765.73,-128.25,1048.4
426.0,-1039.9,-275.46,1469.0
457.0,-925.61,-288.32,1364.4
487.0,-816.62,-235.22,1167.4
518.0,-700.83,-189.71,987.63
548.0,-592.31,-114.5,797.38
579.0,-520.94,-49.071,642.77
610.0,-460.2,5.1034,528.84
640.0,-379.58,55.569,417.67
671.0,-381.76,65.565,449.32
701.0,-394.99,36.328,558.76
732.0,-434.89,51.437,605.76
