time,HEADWATER,TAILWATER,GAGE_1
1.0,-644.22,-478.38,1206.1
32.0,-860.7,-629.34,1623.6
61.0,-1030.3,-758.85,1929.1
92.0,-1111.8,-819.4,2060.8
122.0,-1082.7,-794.62,1982.8
153.0,-936.17,-681.27,1692.4
183.0,-723.47,-519.99,1290.0
214.0,-492.25,-349.05,870.0
245.0,-307.4,-217.37,551.49
275.0,-210.47,-153.45,405.38
306.0,-225.95,-167.2,462.2
336.0,-356.55,-264.4,721.99
367.0,-573.61,-426.6,1128.0
398.0,-808.82,-601.99,1552.3
426.0,-980.14,-729.8,1848.6
457.0,-1060.4,-786.42,1966.6
487.0,-1016.9,-751.12,1858.4
518.0,-857.9,-630.65,1547.6
548.0,-638.11,-467.43,1140.4
579.0,-413.53,-304.63,742.86
610.0,-253.71,-191.54,476.91
640.0,-210.31,-161.77,425.83
671.0,-281.03,-213.63,579.55
701.0,-457.63,-343.59,916.71
732.0,-692.15,-517.35,1346.0
