time,HEADWATER,TAILWATER,GAGE_1
1.0,0.0,0.0,0.0
32.0,-216.48000000000002,-150.96000000000004,417.5
61.0,-386.0799999999999,-280.47,723.0
92.0,-467.5799999999999,-341.02,854.7000000000003
122.0,-438.48,-316.24,776.7
153.0,-291.94999999999993,-202.89,486.3000000000002
183.0,-79.25,-41.610000000000014,83.90000000000009
214.0,151.97000000000003,129.32999999999998,-336.0999999999999
245.0,336.82000000000005,261.01,-654.6099999999999
275.0,433.75,324.93,-800.7199999999999
306.0,418.27000000000004,311.18,-743.8999999999999
336.0,287.67,213.98000000000002,-484.1099999999999
367.0,70.61000000000001,51.77999999999997,-78.09999999999991
398.0,-164.60000000000002,-123.61000000000001,346.20000000000005
426.0,-335.91999999999996,-251.41999999999996,642.5
457.0,-416.18000000000006,-308.03999999999996,760.5
487.0,-372.67999999999995,-272.74,652.3000000000002
518.0,-213.67999999999995,-152.26999999999998,341.5
548.0,6.110000000000014,10.949999999999989,-65.69999999999982
579.0,230.69000000000005,173.75,-463.2399999999999
610.0,390.51,286.84000000000003,-729.1899999999998
640.0,433.91,316.61,-780.27
671.0,363.19000000000005,264.75,-626.55
701.0,186.59000000000003,134.79000000000002,-289.3899999999999
732.0,-47.92999999999995,-38.97000000000003,139.9000000000001
