,sidx,idx_strs,pargp3,parval1_3,3
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
22,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
23,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
24,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
25,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
26,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
27,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
28,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
29,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbhead_cn,0.0,0.053795184019915238959885783742720377631485462188720703
