,sidx,idx_strs,xy,x,y,pargp9,parval1_9,9
0,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,"(3875.0, 7875.0)",3875.0,7875.0,sfrcond_gr,1.0,1.0228589583196454615432458012946881353855133056640625000000000000000000000000
1,"(22, 22, 15)",idx0:22_idx1:22_idx2:15,"(3875.0, 4375.0)",3875.0,4375.0,sfrcond_gr,1.0,0.803073409683674466208458397886715829372406005859375000000000000000000000000000
2,"(15, 15, 15)",idx0:15_idx1:15_idx2:15,"(3875.0, 6125.0)",3875.0,6125.0,sfrcond_gr,1.0,0.613635648521071441763297116267494857311248779296875000000000000000000000000000
3,"(31, 31, 15)",idx0:31_idx1:31_idx2:15,"(3875.0, 2125.0)",3875.0,2125.0,sfrcond_gr,1.0,1.103084009478610738597126328386366367340087890625000000000000000000000000000000
4,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,"(3875.0, 7625.0)",3875.0,7625.0,sfrcond_gr,1.0,0.9105182873886062955293141385482158511877059936523437500000000000000000000000
5,"(21, 21, 15)",idx0:21_idx1:21_idx2:15,"(3875.0, 4625.0)",3875.0,4625.0,sfrcond_gr,1.0,0.716170448049279539937117533554555848240852355957031250000000000000000000000000
6,"(16, 16, 15)",idx0:16_idx1:16_idx2:15,"(3875.0, 5875.0)",3875.0,5875.0,sfrcond_gr,1.0,0.841344499351739272263728253165027126669883728027343750000000000000000000000000
7,"(30, 30, 15)",idx0:30_idx1:30_idx2:15,"(3875.0, 2375.0)",3875.0,2375.0,sfrcond_gr,1.0,1.188269536610082166561142003047280013561248779296875000000000000000000000000000
8,"(23, 23, 15)",idx0:23_idx1:23_idx2:15,"(3875.0, 4125.0)",3875.0,4125.0,sfrcond_gr,1.0,1.444882187832303932495392473356332629919052124023437500000000000000000000000000
9,"(32, 32, 15)",idx0:32_idx1:32_idx2:15,"(3875.0, 1875.0)",3875.0,1875.0,sfrcond_gr,1.0,1.711949933185057171058929270657245069742202758789062500000000000000000000000000
10,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,"(3875.0, 7125.0)",3875.0,7125.0,sfrcond_gr,1.0,0.717431482020024602341834452090552076697349548339843750000000000000000000000000
11,"(19, 19, 15)",idx0:19_idx1:19_idx2:15,"(3875.0, 5125.0)",3875.0,5125.0,sfrcond_gr,1.0,0.446494548868165308519451173197012394666671752929687500000000000000000000000000
12,"(17, 17, 15)",idx0:17_idx1:17_idx2:15,"(3875.0, 5625.0)",3875.0,5625.0,sfrcond_gr,1.0,0.462790024805429189846961435250705108046531677246093750000000000000000000000000
13,"(29, 29, 15)",idx0:29_idx1:29_idx2:15,"(3875.0, 2625.0)",3875.0,2625.0,sfrcond_gr,1.0,0.937330061792855273594682330440264195203781127929687500000000000000000000000000
14,"(24, 24, 15)",idx0:24_idx1:24_idx2:15,"(3875.0, 3875.0)",3875.0,3875.0,sfrcond_gr,1.0,1.803352657704965666951579805754590779542922973632812500000000000000000000000000
15,"(33, 33, 15)",idx0:33_idx1:33_idx2:15,"(3875.0, 1625.0)",3875.0,1625.0,sfrcond_gr,1.0,4.260235465729063975004464737139642238616943359375000000000000000000000000000000
16,"(38, 38, 15)",idx0:38_idx1:38_idx2:15,"(3875.0, 375.0)",3875.0,375.0,sfrcond_gr,1.0,1.776172010743175988523034902755171060562133789062500000000000000000000000000000
17,"(4, 4, 15)",idx0:4_idx1:4_idx2:15,"(3875.0, 8875.0)",3875.0,8875.0,sfrcond_gr,1.0,0.5330363177337607005767949885921552777290344238281250000000000000000000000000
18,"(2, 2, 15)",idx0:2_idx1:2_idx2:15,"(3875.0, 9375.0)",3875.0,9375.0,sfrcond_gr,1.0,0.8409954648616350114664896864269394427537918090820312500000000000000000000000
19,"(25, 25, 15)",idx0:25_idx1:25_idx2:15,"(3875.0, 3625.0)",3875.0,3625.0,sfrcond_gr,1.0,1.472735519301578088757764817273709923028945922851562500000000000000000000000000
20,"(37, 37, 15)",idx0:37_idx1:37_idx2:15,"(3875.0, 625.0)",3875.0,625.0,sfrcond_gr,1.0,2.810759381163196124475689430255442857742309570312500000000000000000000000000000
21,"(27, 27, 15)",idx0:27_idx1:27_idx2:15,"(3875.0, 3125.0)",3875.0,3125.0,sfrcond_gr,1.0,0.970966703384107843177730501338373869657516479492187500000000000000000000000000
22,"(35, 35, 15)",idx0:35_idx1:35_idx2:15,"(3875.0, 1125.0)",3875.0,1125.0,sfrcond_gr,1.0,2.803421714283319765570468007354065775871276855468750000000000000000000000000000
23,"(10, 10, 15)",idx0:10_idx1:10_idx2:15,"(3875.0, 7375.0)",3875.0,7375.0,sfrcond_gr,1.0,0.876240669012343764698869108542567119002342224121093750000000000000000000000000
24,"(12, 12, 15)",idx0:12_idx1:12_idx2:15,"(3875.0, 6875.0)",3875.0,6875.0,sfrcond_gr,1.0,0.522964470753881083275871333171380683779716491699218750000000000000000000000000
25,"(18, 18, 15)",idx0:18_idx1:18_idx2:15,"(3875.0, 5375.0)",3875.0,5375.0,sfrcond_gr,1.0,0.621526893353568143929521738755283877253532409667968750000000000000000000000000
26,"(20, 20, 15)",idx0:20_idx1:20_idx2:15,"(3875.0, 4875.0)",3875.0,4875.0,sfrcond_gr,1.0,0.861574103861852513830399402650073170661926269531250000000000000000000000000000
27,"(0, 0, 15)",idx0:0_idx1:0_idx2:15,"(3875.0, 9875.0)",3875.0,9875.0,sfrcond_gr,1.0,1.5163003475828784605283772179973311722278594970703125000000000000000000000000
28,"(14, 14, 15)",idx0:14_idx1:14_idx2:15,"(3875.0, 6375.0)",3875.0,6375.0,sfrcond_gr,1.0,0.529472662762265122715632514882599934935569763183593750000000000000000000000000
29,"(13, 13, 15)",idx0:13_idx1:13_idx2:15,"(3875.0, 6625.0)",3875.0,6625.0,sfrcond_gr,1.0,0.767326538293197857321104038419434800744056701660156250000000000000000000000000
30,"(1, 1, 15)",idx0:1_idx1:1_idx2:15,"(3875.0, 9625.0)",3875.0,9625.0,sfrcond_gr,1.0,1.7388436220356524586350133176892995834350585937500000000000000000000000000000
31,"(6, 6, 15)",idx0:6_idx1:6_idx2:15,"(3875.0, 8375.0)",3875.0,8375.0,sfrcond_gr,1.0,0.6012450844027378282774520812381524592638015747070312500000000000000000000000
32,"(26, 26, 15)",idx0:26_idx1:26_idx2:15,"(3875.0, 3375.0)",3875.0,3375.0,sfrcond_gr,1.0,2.200242703135346200582489473163150250911712646484375000000000000000000000000000
33,"(28, 28, 15)",idx0:28_idx1:28_idx2:15,"(3875.0, 2875.0)",3875.0,2875.0,sfrcond_gr,1.0,2.685922534929403582282247953116893768310546875000000000000000000000000000000000
34,"(34, 34, 15)",idx0:34_idx1:34_idx2:15,"(3875.0, 1375.0)",3875.0,1375.0,sfrcond_gr,1.0,5.127102772782659023675932985497638583183288574218750000000000000000000000000000
35,"(36, 36, 15)",idx0:36_idx1:36_idx2:15,"(3875.0, 875.0)",3875.0,875.0,sfrcond_gr,1.0,3.699884089796315667086901157745160162448883056640625000000000000000000000000000
36,"(5, 5, 15)",idx0:5_idx1:5_idx2:15,"(3875.0, 8625.0)",3875.0,8625.0,sfrcond_gr,1.0,0.3647364549193978788821368652861565351486206054687500000000000000000000000000
37,"(7, 7, 15)",idx0:7_idx1:7_idx2:15,"(3875.0, 8125.0)",3875.0,8125.0,sfrcond_gr,1.0,1.0157188881431060689664036544854752719402313232421875000000000000000000000000
38,"(39, 39, 15)",idx0:39_idx1:39_idx2:15,"(3875.0, 125.0)",3875.0,125.0,sfrcond_gr,1.0,1.098021044414430269497984227200504392385482788085937500000000000000000000000000
39,"(3, 3, 15)",idx0:3_idx1:3_idx2:15,"(3875.0, 9125.0)",3875.0,9125.0,sfrcond_gr,1.0,0.5394117923836098116296966509253252297639846801757812500000000000000000000000
