time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.33931967,34.58159734,34.61120662,34.87217072,34.25757422,34.13638711,34.14446482,34.02767891,34.31085655,34.17158904,33.94508049,33.98022236,33.88468873,34.29069613,34.58736224,34.61698748,34.87808214,34.26318717,34.14159893,34.15006686,33.99238048,34.31657474,34.17720649,33.90987354,33.98575465,33.89019202
32.00000000000,34.42244220,34.68058325,34.71173505,34.97277967,34.38127708,34.24543017,34.27237228,34.13793562,34.43722412,34.31340488,34.04017169,34.09762342,34.00044005,34.36240708,34.68634411,34.71746841,34.97863711,34.38615334,34.25020749,34.27710533,34.08732791,34.44210463,34.31774550,33.99255453,34.10261448,34.00544161
61.00000000000,34.49579246,34.77793990,34.81152365,35.08299672,34.48141461,34.33003130,34.37605059,34.21890176,34.55436465,34.42703255,34.11518680,34.18951787,34.07951873,34.42527502,34.78411530,34.81763837,35.08889494,34.48731825,34.33578359,34.38182232,34.15774820,34.55981473,34.43248925,34.05793867,34.19559279,34.08596640
92.00000000000,34.54115891,34.84805159,34.88447658,35.17715735,34.53563032,34.37199296,34.43137237,34.25737559,34.63104577,34.49029339,34.15257583,34.23643373,34.11325979,34.46399330,34.85480156,34.89115863,35.18330617,34.54267993,34.37869069,34.43836567,34.19136058,34.63750811,34.49705801,34.09060596,34.24360009,34.12078436
122.0000000000,34.53785149,34.85923104,34.89771169,35.21381288,34.51975226,34.35305057,34.41413515,34.23650099,34.63341655,34.47562621,34.13598841,34.21785909,34.08714323,34.46086589,34.86640794,34.90484272,35.22031465,34.52758902,34.36028410,34.42200375,34.17354263,34.64081191,34.48343030,34.07627162,34.22566545,34.09514945
153.0000000000,34.48554758,34.80520928,34.84414379,35.17761457,34.43629863,34.27694008,34.32577582,34.15958000,34.55498755,34.38242399,34.06766738,34.13638383,34.00662046,34.41567548,34.81251535,34.85145501,35.18451080,34.44431825,34.28411948,34.33393011,34.10716899,34.56298180,34.39074080,34.01692933,34.14421684,34.01440124
183.0000000000,34.39993123,34.70172378,34.73929203,35.07727786,34.31160846,34.16809919,34.19500787,34.05179722,34.42101135,34.24080322,33.97020711,34.01829114,33.89750240,34.34196251,34.70880626,34.74643812,35.08441536,34.31918496,34.17471440,34.20275607,34.01381969,34.42902261,34.24892451,33.93202059,34.02555009,33.90443635
214.0000000000,34.29965613,34.57026636,34.60474221,34.93127723,34.17290738,34.05046677,34.05045963,33.93659843,34.25957277,34.08119726,33.86480888,33.88939315,33.78411061,34.25583855,34.57682450,34.61141630,34.93845455,34.17952697,34.05613046,34.05724871,33.91375746,34.26702376,34.08847017,33.83995519,33.89560552,33.78983372
245.0000000000,34.21409640,34.44939662,34.47992865,34.78199248,34.05979225,33.95730498,33.93314553,33.84638093,34.11701548,33.94857011,33.78178526,33.78665794,33.69802093,34.18259732,34.45529982,34.48597398,34.78895565,34.06531549,33.96200928,33.93878843,33.83519008,34.12356279,33.95470792,33.76723559,33.79177351,33.70261069
275.0000000000,34.16546886,34.37190386,34.39880586,34.67158427,33.99876033,33.91012363,33.87032478,33.80146398,34.02907717,33.87353633,33.74068928,33.73340369,33.65749083,34.14136910,34.37726825,34.40430613,34.67818411,34.00347213,33.91424042,33.87508769,33.79607966,34.03475282,33.87871211,33.73123571,33.73779414,33.66145369
