time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.44919936,35.16323041,35.25117957,35.98501495,34.47494356,34.18019908,34.34824704,34.04202832,34.85965117,34.52951826,33.96946947,34.17236080,33.95161356,34.39199750,35.16864742,35.25658863,35.98986673,34.48014327,34.18410797,34.35343666,34.00898900,34.86501952,34.53473469,33.93500705,34.17750620,33.95687141
32.00000000000,34.51653196,35.25926273,35.34925415,36.08281588,34.60404581,34.27930354,34.48296831,34.14669224,34.98813058,34.69129451,34.05307753,34.30305783,34.09258573,34.45188141,35.26475254,35.35468061,36.08767815,34.60841324,34.28284114,34.48715670,34.10081183,34.99264691,34.69476313,34.00925972,34.30735566,34.09663822
61.00000000000,34.57654110,35.35874675,35.45211157,36.19222793,34.71788802,34.36102067,34.60407980,34.22187805,35.12263887,34.83225089,34.12372188,34.41773217,34.18966217,34.50467368,35.36446952,35.45772187,36.19706110,34.72293278,34.36504358,34.60887869,34.16749490,35.12720669,34.83645311,34.07180551,34.42273279,34.19519018
92.00000000000,34.61476339,35.43708597,35.53444421,36.29111866,34.78660217,34.40398420,34.67908048,34.25773374,35.22697660,34.92171300,34.16236717,34.48596708,34.23151598,34.53806730,35.44315645,35.54038593,36.29599034,34.79267410,34.40861553,34.68496162,34.19938329,35.23217702,34.92715512,34.10599387,34.49202441,34.23838091
122.0000000000,34.61350292,35.45942581,35.55994025,36.34025268,34.77906961,34.38912023,34.67420436,34.23830951,35.25533355,34.92147924,34.15162195,34.47793787,34.20114823,34.53654774,35.46577976,35.56618633,36.34518928,34.78601438,34.39417036,34.68106760,34.18240416,35.26136939,34.92816352,34.09637784,34.48486390,34.20885244
153.0000000000,34.57231121,35.41796571,35.51983174,36.32540254,34.69527592,34.31924475,34.58794775,34.16795686,35.19637544,34.82862860,34.09314488,34.39359326,34.10553212,34.49980360,35.42442252,35.52623160,36.33044423,34.70264489,34.32438323,34.59538272,34.12037746,35.20319361,34.83622755,34.04444935,34.40092586,34.11335531
183.0000000000,34.50366410,35.32396494,35.42487400,36.24868720,34.56158021,34.21692345,34.44755150,34.06871719,35.06704008,34.67175562,34.00572004,34.25979870,33.97548652,34.43898892,35.33031154,35.43123231,36.25385232,34.56882275,34.22180064,34.45497732,34.03276365,35.07432573,34.67968577,33.96685675,34.26698390,33.98275910
214.0000000000,34.42309228,35.19717821,35.29482402,36.12470864,34.40702952,34.10474740,34.28303956,33.96219511,34.89333967,34.48340301,33.90821043,34.10522767,33.83970609,34.36794735,35.20320990,35.30093746,36.12998871,34.41361174,34.10906285,34.28989538,33.93866455,34.90066326,34.49099234,33.88037512,34.11172023,33.84588253
245.0000000000,34.35478722,35.07510757,35.16805022,35.98937320,34.27597786,34.01556008,34.14112297,33.87881146,34.72446693,34.31570962,33.82990584,33.97404912,33.73526041,34.30805552,35.08072107,35.17379341,35.99471352,34.28163907,34.01929224,34.14705479,33.86503559,34.73141818,34.32248846,33.81097043,33.97963594,33.74024719
275.0000000000,34.31698351,34.99231434,35.08050971,35.88321411,34.19935496,33.96941834,34.05526724,33.83577132,34.60414307,34.20704271,33.78854561,33.89621790,33.68341957,34.27531923,34.99755899,35.08589697,35.88853740,34.20421559,33.97279301,34.06038450,33.82720671,34.61053686,34.21294466,33.77450272,33.90103545,33.68762884
306.0000000000,34.31857508,34.96686810,35.05119009,35.82698295,34.19806308,33.97982836,34.04775326,33.84834312,34.55853795,34.18650461,33.79581267,33.89215940,33.70242401,34.27735090,34.97184677,35.05628052,35.83225024,34.20216381,33.98298501,34.05200663,33.83845500,34.56414098,34.19123881,33.78133240,33.89624848,33.70597459
336.0000000000,34.35834797,35.00513655,35.08769327,35.83652745,34.27346229,34.04444452,34.12238614,33.91313706,34.60174445,34.26252762,33.84981796,33.96475885,33.78907914,34.31284548,35.01003735,35.09265062,35.84171036,34.27709658,34.04757584,34.12601306,33.89564774,34.60653542,34.26620749,33.82953114,33.96839764,33.79238641
367.0000000000,34.42702991,35.09779555,35.18102819,35.90757045,34.40898009,34.14891637,34.26297113,34.01544365,34.72432441,34.41811699,33.93852001,34.09786643,33.92279030,34.37350624,35.10279149,35.18600717,35.91262748,34.41257082,34.15222797,34.26639235,33.98577469,34.72846889,34.42118094,33.90821810,34.10146760,33.92640235
