time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,35.39037831,35.58302738,35.59721341,35.47807093,35.23910531,35.02159150,34.61033540,34.54202079,34.43843264,34.31746886,34.16150543,33.90415512,33.76954425,35.07956362,35.63530174,35.61761059,35.50115400,35.24506812,35.03323805,34.61961689,34.40720646,34.44278603,34.32259932,34.08417218,33.90592797,33.77502768
32.00000000000,35.29416871,35.46158160,35.47423983,35.41417691,35.18543909,34.98056692,34.65162666,34.57836305,34.51603264,34.39790314,34.24139006,33.99203393,33.87100410,35.00873581,35.49035215,35.49694727,35.44795868,35.19430497,34.98569582,34.66488211,34.43348408,34.52621574,34.40773550,34.15688010,33.99515097,33.87552206
61.00000000000,35.18727125,35.36184741,35.37719936,35.34831629,35.07881226,34.89189988,34.66286874,34.54807215,34.61363700,34.49147517,34.30545010,34.07700349,33.94817739,34.91880402,35.38675431,35.40502663,35.38676975,35.08351242,34.89842719,34.68741716,34.38675062,34.62295263,34.49803069,34.22634564,34.07900874,33.95234499
92.00000000000,35.11491324,35.29674101,35.31764617,35.33368696,35.05006471,34.84189685,34.64962246,34.51300587,34.66374229,34.49902474,34.24078381,34.08436891,33.92288319,34.85481877,35.31238763,35.34115109,35.35940991,35.05815905,34.84638297,34.67551544,34.35767697,34.68555756,34.50957231,34.15483508,34.09037040,33.93755252
122.0000000000,35.02180168,35.16970698,35.18532953,35.21944354,34.91223853,34.76138172,34.52691715,34.40823054,34.56893209,34.41858126,34.16497782,34.05745344,33.89866889,34.78903405,35.18638569,35.20488566,35.24826022,34.91751227,34.77168792,34.54074978,34.27255966,34.59052854,34.43342184,34.08767069,34.06647872,33.92818583
153.0000000000,34.88541342,35.04108938,35.05396879,35.07719961,34.73002505,34.57800640,34.40841265,34.30550292,34.44103609,34.28882009,34.09241663,33.91904176,33.77870058,34.68869150,35.08019391,35.08038478,35.10281926,34.73483466,34.58391937,34.42500405,34.19528839,34.46172415,34.29991765,34.03767501,33.92612067,33.78969413
183.0000000000,34.83755528,34.99180374,35.00415832,34.99148618,34.64264965,34.47096789,34.25474078,34.16849209,34.26148489,34.11721591,33.95050885,33.76695396,33.64119055,34.65864711,35.02399629,35.02890076,35.02478172,34.64654382,34.47476311,34.26686749,34.09274005,34.27722417,34.13841110,33.91296353,33.77392679,33.65853567
214.0000000000,34.61674069,34.75876329,34.76863572,34.75141629,34.41280044,34.26058008,34.02934212,33.95743956,34.02939219,33.88837113,33.77345977,33.59367974,33.48946922,34.47723466,34.79201555,34.79433968,34.77958552,34.41782915,34.26868882,34.04244901,33.92629909,34.04326285,33.89822570,33.77112894,33.59891092,33.50147435
245.0000000000,34.41572904,34.53901403,34.54966396,34.55831679,34.21294205,34.07818194,33.86855587,33.81574808,33.88757897,33.75003152,33.65107536,33.47895220,33.38026106,34.32275351,34.56394886,34.57178344,34.59259741,34.21748450,34.08561521,33.87802646,33.81251031,33.90216733,33.75996809,33.66507361,33.48288327,33.38851305
275.0000000000,34.33809607,34.42501557,34.43100702,34.40322419,34.10775390,33.98701039,33.76645849,33.73088354,33.76000273,33.63913574,33.57013980,33.39026275,33.30981808,34.26155755,34.44387550,34.44602030,34.42580473,34.11073857,33.99014546,33.77399153,33.74366949,33.77123746,33.64831154,33.60002210,33.39366901,33.31626309
306.0000000000,34.23669984,34.30688936,34.31160878,34.28771140,34.06544237,33.95993446,33.78760765,33.72809924,33.72642821,33.61387957,33.54441149,33.36997761,33.29370150,34.18718291,34.32316293,34.32725056,34.30951259,34.06926317,33.96330468,33.81164485,33.73848442,33.74155965,33.62596619,33.57359281,33.37307555,33.29959145
336.0000000000,34.27145511,34.33932237,34.34498596,34.30886812,34.13969235,34.07885980,33.91115276,33.87014095,33.82088882,33.72938043,33.66036942,33.45112888,33.37519870,34.21603055,34.34737388,34.36113704,34.33067245,34.14432498,34.08423092,33.93155231,33.87412808,33.83732469,33.73895643,33.66872443,33.45325059,33.37638293
367.0000000000,34.40076618,34.44209877,34.44098826,34.38486284,34.20476602,34.14139094,33.91868309,33.88743274,33.87245356,33.80087625,33.72222214,33.55255807,33.47223508,34.32726259,34.46316268,34.45651920,34.39933614,34.20566890,34.14738677,33.92386801,33.86261296,33.88033728,33.81524244,33.72040826,33.55608888,33.48482205
398.0000000000,34.43848557,34.48513692,34.48823166,34.46506703,34.34731756,34.30938464,34.11956511,34.09637330,34.09313981,33.99504682,33.88186109,33.68404376,33.58542576,34.34549912,34.49275859,34.49528290,34.47431959,34.34764561,34.31578831,34.12392385,34.04702867,34.11123988,34.00228781,33.85864444,33.68773635,33.59448128
