time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-739.41,-483.07,1312.5
32.00000000000,-957.25,-631.14,1729.6
61.00000000000,-1113.2,-749.68,2011.8
92.00000000000,-1185.7,-809.21,2134.3
122.0000000000,-1143.6,-783.00,2042.0
153.0000000000,-997.57,-677.19,1758.6
183.0000000000,-794.57,-527.03,1375.6
214.0000000000,-580.21,-366.49,981.20
245.0000000000,-414.77,-243.39,689.22
275.0000000000,-331.36,-182.07,558.38
306.0000000000,-359.59,-199.52,631.27
336.0000000000,-493.00,-292.41,890.17
367.0000000000,-702.04,-442.51,1277.5
398.0000000000,-922.64,-603.63,1674.9
426.0000000000,-1078.2,-718.84,1944.4
457.0000000000,-1146.6,-772.15,2048.1
487.0000000000,-1094.9,-738.32,1933.1
518.0000000000,-936.42,-626.04,1630.1
548.0000000000,-725.52,-474.75,1242.2
579.0000000000,-514.16,-322.72,867.00
610.0000000000,-369.75,-218.19,623.63
640.0000000000,-334.03,-189.92,581.11
671.0000000000,-414.57,-243.68,746.51
701.0000000000,-587.04,-364.97,1071.9
732.0000000000,-809.06,-525.07,1476.8
