time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-644.10,-477.76,1205.3
32.00000000000,-865.29,-638.26,1636.6
61.00000000000,-1034.0,-764.91,1938.5
92.00000000000,-1118.7,-825.49,2073.6
122.0000000000,-1083.0,-794.89,1983.4
153.0000000000,-933.59,-675.93,1684.8
183.0000000000,-718.96,-511.45,1277.4
214.0000000000,-487.15,-339.54,855.97
245.0000000000,-302.95,-209.34,539.49
275.0000000000,-206.12,-147.16,395.08
306.0000000000,-226.05,-167.24,462.34
336.0000000000,-360.51,-272.56,733.64
367.0000000000,-578.78,-436.91,1142.8
398.0000000000,-813.94,-611.52,1566.4
426.0000000000,-984.02,-736.34,1858.7
457.0000000000,-1064.2,-791.03,1974.8
487.0000000000,-1017.6,-751.61,1859.6
518.0000000000,-855.06,-624.53,1539.1
548.0000000000,-633.93,-458.77,1128.1
579.0000000000,-407.57,-293.71,726.60
610.0000000000,-249.73,-183.99,465.81
640.0000000000,-204.10,-156.31,414.38
671.0000000000,-282.79,-218.47,585.84
701.0000000000,-461.83,-352.81,929.59
732.0000000000,-697.03,-527.55,1360.5
