time,TRGW-2-2-15,TRGW-2-2-9,TRGW-2-3-8,TRGW-2-9-1,TRGW-2-13-10,TRGW-2-15-16,TRGW-2-21-10,TRGW-2-22-15,TRGW-2-24-4,TRGW-2-26-6,TRGW-2-29-15,TRGW-2-33-7,TRGW-2-34-10,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.39929015,34.69152460,34.72856922,35.06105981,34.32095653,34.18085129,34.20093787,34.06621884,34.40573316,34.24544947,33.97712931,34.02501425,33.91789500,34.34169103,34.69796389,34.73510126,35.06833778,34.32689566,34.18617444,34.20684629,34.02574686,34.41209560,34.25150622,33.93783188,34.03071027,33.92344484
3683.500000000,34.47376378,34.77212260,34.80912640,35.12682705,34.43495863,34.28381873,34.31998382,34.17101073,34.51556594,34.37482365,34.06766258,34.13608815,34.02981834,34.40609590,34.77846521,34.81549569,35.13381688,34.44012435,34.28873019,34.32498023,34.11590564,34.52096385,34.37953176,34.01642290,34.14123689,34.03492327
3712.500000000,34.53974232,34.85518498,34.89356585,35.21100261,34.52766067,34.36316740,34.41710738,34.24745606,34.62054575,34.47954348,34.13917304,34.22316869,34.10530669,34.46270683,34.86184826,34.90020691,35.21781006,34.53381158,34.36904186,34.42309783,34.18240118,34.62641027,34.48529627,34.07874306,34.22940037,34.11187307
3743.500000000,34.57750480,34.91203960,34.95240120,35.28233514,34.57368487,34.39885931,34.46532956,34.28052097,34.68622504,34.53417807,34.17184198,34.26456916,34.13452997,34.49497476,34.91921241,34.95953576,35.28922482,34.58097995,34.40565664,34.47253810,34.21138733,34.69304342,34.54121123,34.10737172,34.27189680,34.14218699
3773.500000000,34.56888215,34.91308361,34.95480740,35.30159993,34.55225274,34.37632371,34.44280581,34.25640523,34.67925102,34.51223068,34.15273320,34.24167390,34.10537632,34.48730513,34.92059943,34.96230033,35.30869359,34.56026951,34.38363631,34.45083869,34.19074891,34.68694515,34.52026431,34.09082350,34.24961698,34.11347994
3804.500000000,34.51148543,34.85000747,34.89161829,35.25004908,34.46373606,34.29669756,34.35014713,34.17656647,34.59337724,34.41331496,34.08202040,34.15657112,34.02209668,34.43778387,34.85760217,34.89923805,35.25744387,34.47191284,34.30395710,34.35843478,34.12187126,34.60161005,34.42181437,34.02943368,34.16452245,34.02996134
3834.500000000,34.42183838,34.73933773,34.77910749,35.13750006,34.33495420,34.18473499,34.21575472,34.06609998,34.45327325,34.26698185,33.98229266,34.03559415,33.91072349,34.36063487,34.74666344,34.78651079,35.14504787,34.34267005,34.19141722,34.22363094,34.02622401,34.46147813,34.27525879,33.94259031,34.04296019,33.91775182
3865.500000000,34.31790159,34.60146990,34.63775845,34.98097433,34.19242676,34.06448520,34.06784704,33.94875937,34.28648206,34.10308889,33.87508271,33.90390679,33.79523942,34.27139494,34.60823327,34.64465057,34.98849167,34.19916811,34.07020732,34.07474110,33.92435708,34.29409962,34.11049794,33.84900327,33.91021251,33.80103028
3896.500000000,34.22933662,34.47537833,34.50741399,34.82331130,34.07616186,33.96925080,33.94782708,33.85681995,34.13954847,33.96689593,33.79065042,33.79881654,33.70743205,34.19559259,34.48144865,34.51363697,34.83054800,34.08178355,33.97400665,33.95355415,33.84432585,34.14623519,33.97314533,33.77508506,33.80400657,33.71207431
3926.500000000,34.17817692,34.39355545,34.42171019,34.70632486,34.01233600,33.92014659,33.88250952,33.81025462,34.04792077,33.88875058,33.74820197,33.74345330,33.66538140,34.15220548,34.39906045,34.42736032,34.71314918,34.01713330,33.92431453,33.88734656,33.80380843,34.05371538,33.89401990,33.73793166,33.74790277,33.66938772
3957.500000000,34.17646125,34.37376092,34.39915435,34.65355463,34.01846859,33.93144446,33.88963076,33.82351906,34.03261734,33.88994519,33.75947511,33.75315332,33.68328263,34.15131853,34.37884190,34.40433488,34.65984277,34.02261232,33.93524471,33.89373023,33.81536053,34.03751756,33.89425248,33.74792705,33.75710732,33.68696678
3987.500000000,34.22272662,34.41808267,34.44248107,34.67500841,34.09269245,34.00066788,33.96825861,33.89409097,34.09785443,33.97086361,33.82266040,33.82601670,33.75719001,34.19147706,34.42305406,34.44750580,34.68089814,34.09658837,34.00449904,33.97200082,33.87659255,34.10212448,33.97455528,33.80324920,33.82986876,33.76099224
4018.500000000,34.30648027,34.51678815,34.54214846,34.76487686,34.21801371,34.11105475,34.10013008,34.00432661,34.22892489,34.11304170,33.92171670,33.94523897,33.86905703,34.26347222,34.52188941,34.54723952,34.77041799,34.22215690,34.11530785,34.10405742,33.97209897,34.23297434,34.11667361,33.88969537,33.94948586,33.87350348
4049.500000000,34.40109690,34.63770629,34.66558148,34.89302759,34.35504309,34.22828395,34.24402770,34.12010962,34.38448011,34.27177747,34.02586383,34.07346118,33.98408380,34.34449147,34.64318074,34.67099797,34.89842831,34.35986987,34.23321610,34.24862626,34.07225733,34.38882436,34.27593949,33.98031863,34.07846363,33.98945827
4077.500000000,34.47248928,34.73553096,34.76629263,35.00787008,34.45561967,34.31162063,34.34966088,34.20146354,34.50809430,34.39117075,34.09929288,34.16650490,34.06304769,34.40540222,34.74144864,34.77213157,35.01333640,34.46128057,34.31724463,34.35512703,34.14259873,34.51306293,34.39619602,34.04409690,34.17234247,34.06930024
4108.500000000,34.51148590,34.79834087,34.83209124,35.09718834,34.50629351,34.35031678,34.40304706,34.23803863,34.58378979,34.45489024,34.13304362,34.21114409,34.09538366,34.43837028,34.80470199,34.83837857,35.10286108,34.51285000,34.35654634,34.40949949,34.17422524,34.58967158,34.46103579,34.07329812,34.21777878,34.10236779
4138.500000000,34.49949129,34.79728269,34.83286129,35.12061044,34.48317929,34.32552186,34.37944262,34.21207884,34.57828542,34.43434779,34.11065790,34.18685470,34.06465334,34.42761046,34.80391765,34.83945493,35.12659334,34.49032910,34.33207757,34.38659147,34.15184544,34.58499178,34.44141329,34.05377982,34.19393641,34.07190444
4169.500000000,34.43932860,34.73163403,34.76728271,35.06993527,34.39181499,34.24315194,34.28423325,34.12956145,34.49139272,34.33374628,34.03714732,34.09944686,33.97884019,34.37565786,34.73830901,34.77397370,35.07627883,34.39910633,34.24960985,34.29162821,34.08060248,34.49866300,34.34132041,33.98988403,34.10651027,33.98582732
4199.500000000,34.35118890,34.62388258,34.65787826,34.96333325,34.26315079,34.13120027,34.15000411,34.01873421,34.35351633,34.18756280,33.93800812,33.97868612,33.86685004,34.29990313,34.63034211,34.66440876,34.96989797,34.27011626,34.13722085,34.15713438,33.98474107,34.36088717,34.19508660,33.90359120,33.98530435,33.87316678
4230.500000000,34.25611252,34.49947709,34.53046425,34.82565285,34.12776989,34.01631521,34.00865110,33.90583858,34.19752271,34.03089826,33.83629173,33.85337665,33.75560285,34.21847203,34.50550850,34.53660787,34.83225322,34.13399321,34.02163390,34.01504734,33.88689999,34.20449976,34.03778697,33.81490915,33.85919408,33.76097047
4261.500000000,34.18513178,34.39872013,34.42630313,34.70125850,34.03008246,33.93610124,33.90644237,33.82780590,34.07357535,33.91451293,33.76564783,33.76459492,33.68158079,34.15797049,34.40423414,34.43194080,34.70767852,34.03537334,33.94067026,33.91186421,33.81904379,34.07977897,33.92039086,33.75310932,33.76952931,33.68604621
4291.500000000,34.15897814,34.35147879,34.37627054,34.62688515,33.99848107,33.91396002,33.87348238,33.80778544,34.01936937,33.87326229,33.74663229,33.73826331,33.66607609,34.13612054,34.35657598,34.38147477,34.63302105,34.00295763,33.91797832,33.87799822,33.80162628,34.02467462,33.87806783,33.73655934,33.74249572,33.66993940
4322.500000000,34.18423708,34.36905569,34.39233212,34.62083863,34.04100294,33.95591294,33.91784439,33.85101758,34.04708950,33.91647296,33.78501130,33.78102109,33.71356072,34.15832322,34.37391576,34.39725840,34.62660437,34.04497710,33.95972053,33.92175325,33.83917379,34.05160990,33.92044021,33.77023782,33.78491267,33.71728804
4352.500000000,34.25229065,34.44574701,34.46931179,34.68506275,34.14329822,34.04749471,34.02466135,33.94270281,34.14802861,34.03022809,33.86692522,33.87838898,33.80776723,34.21700635,34.45062447,34.47419907,34.69050504,34.14723184,34.05149528,34.02843760,33.91871574,34.15209479,34.03380800,33.84189583,33.88239203,33.81184961
4383.500000000,34.34658967,34.56316043,34.58878741,34.80458533,34.28048566,34.16614974,34.16801419,34.06007563,34.29802877,34.18691516,33.97230133,34.00681821,33.92545545,34.29788403,34.56832457,34.59390639,34.80983659,34.28489637,34.17071181,34.17221912,34.02033061,34.30213472,34.19073302,33.93372582,34.01140493,33.93034186
