,sidx,idx_strs,xy,x,y,pargp4,parval1_4,4
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
22,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
23,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
24,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
25,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.10000000000000008881784197001252323389053344726562500000000000000000000000000
26,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,1.1000000000000000888178419700125232338905334472656250000000000000000000000000
