time,HEADWATER,TAILWATER,GAGE_1
1.0,0.0,0.0,0.0
32.0,12142.42712402338,0.0,0.0
61.0,14425.694549560649,0.0,0.0
92.0,12508.75964355463,0.0,0.0
122.0,6949.759185790968,0.0,0.0
153.0,-632.7420043945385,0.0,0.0
183.0,-8031.0115814209,0.0,0.0
214.0,-13090.963417053215,0.0,0.0
245.0,-14339.333175659189,0.0,0.0
275.0,-11412.64734649657,0.0,0.0
306.0,-5163.041290283189,0.0,0.0
336.0,2589.8436126708402,0.0,0.0
367.0,9588.664947509718,0.0,0.0
398.0,13795.63879394537,0.0,0.0
426.0,13985.861114501873,0.0,0.0
457.0,10103.936920165968,0.0,0.0
487.0,3280.1451873780097,0.0,0.0
518.0,-4498.701141357429,0.0,0.0
548.0,-10967.69886016845,0.0,0.0
579.0,-14243.329421997061,0.0,0.0
610.0,-13371.855102539073,0.0,0.0
640.0,-8607.01462554931,0.0,0.0
671.0,-1336.1462402343786,0.0,0.0
701.0,6323.754821777318,0.0,0.0
732.0,12142.42712402338,0.0,0.0
