name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
strinf,2.69897,0.5,1.69897,3.69897,3.03199,0.0834935,2.865,3.19897
wel0,2.47712,0.488561,1.5,3.45424,2.28142,0.419974,1.44148,3.12137
wel2,2.47712,0.488561,1.5,3.45424,2.1224,0.439405,1.24359,3.00121
wel4,2.47712,0.488561,1.5,3.45424,2.25799,0.461757,1.33447,3.1815
wel5,2.47712,0.488561,1.5,3.45424,2.5298,0.45933,1.61114,3.44847
wel1,2.47712,0.488561,1.5,3.45424,2.42277,0.440182,1.5424,3.30313
wel3,2.47712,0.488561,1.5,3.45424,2.41341,0.454409,1.50459,3.32222
hk_i:12_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.698921,0.999784,-1.30065,2.69849
hk_i:32_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.521923,0.961564,-1.40121,2.44505
hk_i:2_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.330945,0.978701,-1.62646,2.28835
hk_i:22_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.288162,0.985901,-1.68364,2.25997
hk_i:37_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.445694,0.947748,-1.4498,2.34119
hk_i:7_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.584814,0.870442,-1.15607,2.3257
hk_i:27_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.665475,0.912402,-1.15933,2.49028
hk_i:27_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.883112,0.915913,-0.948714,2.71494
hk_i:17_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.413288,0.977393,-1.5415,2.36807
hk_i:27_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.813833,0.85436,-0.894886,2.52255
hk_i:27_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.293526,0.986395,-1.67926,2.26632
hk_i:2_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.635796,0.994222,-1.35265,2.62424
hk_i:7_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.340337,0.985243,-1.63015,2.31082
hk_i:37_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.42874,0.992334,-1.55593,2.41341
hk_i:12_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.480337,0.972825,-1.46531,2.42599
hk_i:2_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.795881,0.969417,-1.14295,2.73472
hk_i:7_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.638776,0.987741,-1.33671,2.61426
hk_i:22_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,1.03584,0.894128,-0.752414,2.8241
hk_i:2_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.631743,0.759925,-0.888108,2.15159
hk_i:17_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.825484,0.988544,-1.1516,2.80257
hk_i:22_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.498196,0.940462,-1.38273,2.37912
hk_i:37_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.459076,0.997009,-1.53494,2.45309
hk_i:32_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.686062,0.922257,-1.15845,2.53058
hk_i:17_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.282933,0.986336,-1.68974,2.25561
hk_i:32_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.673174,0.965481,-1.25779,2.60414
hk_i:7_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.824721,0.911778,-0.998835,2.64828
hk_i:12_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.342917,0.987215,-1.63151,2.31735
hk_i:22_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.89605,0.929642,-0.963233,2.75533
