time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.73502690,37.02698392,37.30351077,39.47737969,35.44685590,34.50359598,35.40375404,34.29541235,37.07733847,36.26799224,34.23078894,35.39277315,34.75593351
3683.500000000,34.75006051,37.06149878,37.33823741,39.51694503,35.43079127,34.50006523,35.38262941,34.26510217,37.08631955,36.21319475,34.23045575,35.37404992,34.68287180
3712.500000000,34.80564516,37.18180959,37.46086758,39.65323821,35.50115035,34.55270791,35.44525882,34.30043360,37.17890804,36.26626906,34.27377299,35.43842168,34.72852607
3743.500000000,34.87861180,37.35969135,37.64457396,39.86421477,35.62851381,34.63309195,35.56541999,34.36295099,37.33777381,36.39848409,34.33767647,35.56230767,34.83387684
3773.500000000,34.93578095,37.52388532,37.81678206,40.07403136,35.74520411,34.69642208,35.67762708,34.41335967,37.49521039,36.53554564,34.38758582,35.67906740,34.92848037
3804.500000000,34.95711303,37.62740963,37.92903276,40.23260841,35.80216198,34.71328996,35.73235145,34.42774712,37.59876005,36.61984473,34.40072841,35.73724165,34.96505048
3834.500000000,34.92955351,37.62550656,37.93364121,40.28186757,35.76124362,34.66684012,35.69033008,34.39301897,37.59554926,36.59966088,34.36485025,35.69484980,34.91147116
3865.500000000,34.85377421,37.50672594,37.81740842,40.20234862,35.61335024,34.55643313,35.54031191,34.30623659,37.46534895,36.45560432,34.27672494,35.54154793,34.76329131
3896.500000000,34.74890865,37.29569639,37.60372095,40.00815809,35.38823408,34.40912359,35.31049578,34.18987721,37.22753183,36.20994499,34.15988599,35.30558200,34.55176633
3926.500000000,34.64301673,37.04854448,37.34937391,39.75254904,35.14272118,34.26298154,35.05717588,34.07309611,36.93912112,35.92102797,34.04350261,35.04453927,34.32967439
3957.500000000,34.55689749,36.81051665,37.10055787,39.48126400,34.92065365,34.14605457,34.82363644,33.97768586,36.64589406,35.63499771,33.94938577,34.80176510,34.13601465
3987.500000000,34.51619898,36.65221661,36.93093491,39.27272219,34.78492796,34.09244650,34.63964394,33.92818024,34.77221970,35.18857475,33.90273702,34.63171951,34.02087168
4018.500000000,34.52838649,36.60298983,36.87178986,39.16121916,34.75869451,34.11152123,34.54728152,33.93224875,34.25360336,34.89314110,33.91059130,34.55749753,34.00009731
4049.500000000,34.57425721,36.64471869,36.90703256,39.13962922,34.81751766,34.17643211,34.54247672,33.97135505,34.01771380,34.75062069,33.95295312,34.56319897,34.04696375
4077.500000000,34.64441152,36.76191304,37.02203866,39.20601027,34.94205324,34.27266388,34.61727030,34.03711391,33.95543822,34.74034075,34.02069275,34.64088454,34.14716587
4108.500000000,34.72874640,36.93749441,37.19958879,39.33989506,35.11414628,34.38633429,34.74541863,34.11745390,33.99019975,34.81083000,34.10159351,34.76660410,34.28022287
4138.500000000,34.79308811,37.09731229,37.36417001,39.47430188,35.26095822,34.47093907,34.85934752,34.17744070,34.05153974,34.89340775,34.16065638,34.87482861,34.38453071
4169.500000000,34.82134705,37.19868472,37.47127256,39.56112610,35.34283712,34.50500401,34.91537351,34.19955609,34.07455969,34.93081570,34.18070002,34.92254225,34.42561088
4199.500000000,34.80228928,37.20081355,37.47740831,39.55234636,35.32606130,34.47491328,34.87872415,34.17321299,34.00780303,34.87700447,34.15214180,34.87570177,34.37894595
4230.500000000,34.73784133,37.09408619,37.37115012,39.42774683,35.20594576,34.38320319,34.74053031,34.09792971,33.82417480,34.71106791,34.07431909,34.72512492,34.24235075
4261.500000000,34.64581039,36.90163719,37.17453161,39.20263074,35.01095384,34.25536361,34.52760812,33.99435489,33.54179468,34.45393158,33.96900570,34.49807154,34.04574892
4291.500000000,34.55206084,36.67533396,36.94006555,38.92704079,34.79420115,34.12689646,34.29230227,33.88956845,33.21545703,34.15964947,33.86336007,34.24790891,33.83844504
4322.500000000,34.47582176,36.45665935,36.70999012,38.63969001,34.59696862,34.02410955,34.07428404,33.80368140,32.88538213,33.86846075,33.77750596,34.01423174,33.65667160
4352.500000000,34.44032145,36.31016340,36.55176243,38.41575873,34.47828439,33.97847843,33.93464048,33.76206149,32.63332719,33.65519121,33.73666040,33.86028239,33.55150434
4383.500000000,34.47380858,36.30505379,36.53709062,38.33114987,34.50184224,34.02774770,33.93750760,33.79492006,32.53889570,33.59377439,33.77118127,33.85121458,33.57857605
