name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
strinf,2.69897,0.5,1.69897,3.69897,2.99789,0.214289,2.56931,3.42647
wel5,2.47712,0.488561,1.5,3.45424,2.64702,0.420206,1.80661,3.48744
wel2,2.47712,0.488561,1.5,3.45424,1.99245,0.480006,1.03243,2.95246
wel3,2.47712,0.488561,1.5,3.45424,2.44459,0.435176,1.57424,3.31494
wel1,2.47712,0.488561,1.5,3.45424,2.41291,0.430912,1.55109,3.27474
wel4,2.47712,0.488561,1.5,3.45424,2.19809,0.469683,1.25873,3.13746
wel0,2.47712,0.488561,1.5,3.45424,2.1719,0.461282,1.24934,3.09447
hk_i:27_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.664012,0.883073,-1.10213,2.43016
hk_i:17_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.836259,0.992098,-1.14794,2.82046
hk_i:27_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.821304,0.992602,-1.1639,2.80651
hk_i:7_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.154217,0.991572,-1.82893,2.13736
hk_i:27_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0877924,0.991771,-1.89575,2.07133
hk_i:37_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.467856,0.959794,-1.45173,2.38744
hk_i:7_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.92088,0.0072597,0.90636,0.935399
hk_i:32_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.441793,0.960514,-1.47923,2.36282
hk_i:2_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.662139,0.994747,-1.32736,2.65163
hk_i:22_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.99631,0.971151,-0.945992,2.93861
hk_i:37_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.327007,0.995109,-1.66321,2.31723
hk_i:2_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.871364,0.996684,-1.12201,2.86473
hk_i:12_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.698421,0.999473,-1.30053,2.69737
hk_i:22_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.42734,0.939083,-1.45083,2.30551
hk_i:17_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0624025,0.99066,-1.91892,2.04372
hk_i:12_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.371448,0.983445,-1.59544,2.33834
hk_i:22_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,1.01307,0.949475,-0.88588,2.91202
hk_i:27_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.911604,0.909361,-0.907117,2.73033
hk_i:17_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.289638,0.980128,-1.67062,2.24989
hk_i:2_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.670669,0.960173,-1.24968,2.59101
hk_i:32_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.608642,0.988438,-1.36823,2.58552
hk_i:32_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.10647,0.993659,-1.88085,2.09379
hk_i:2_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.170433,0.991759,-1.81308,2.15395
hk_i:7_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.614398,0.992362,-1.37033,2.59912
hk_i:7_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.567387,0.977791,-1.3882,2.52297
hk_i:22_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0817147,0.99052,-1.89933,2.06276
hk_i:12_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.126219,0.990402,-1.85459,2.10702
hk_i:37_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.307091,0.998132,-1.68917,2.30335
hk_i:32_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.667044,0.959217,-1.25139,2.58548
rch_i:17_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.264296,0.101698,0.0608997,0.467691
rch_i:27_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.0713913,0.149959,-0.228526,0.371308
rch_i:22_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,0.0702693,0.137753,-0.205237,0.345775
rch_i:32_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.0490271,0.146919,-0.342864,0.24481
rch_i:7_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.259716,0.150053,-0.0403908,0.559822
rch_i:7_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.0097526,0.15013,-0.310014,0.290508
rch_i:37_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.0582403,0.149127,-0.356494,0.240014
rch_i:22_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.169998,0.150167,-0.130337,0.470333
rch_i:2_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.167873,0.149381,-0.130889,0.466634
rch_i:2_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.269347,0.14939,-0.568126,0.0294331
rch_i:32_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.0276865,0.150001,-0.272314,0.327688
rch_i:12_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.261923,0.112332,0.0372602,0.486587
rch_i:27_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.137865,0.148162,-0.434189,0.158459
