name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
strinf,2.69897,0.5,1.69897,3.69897,2.96609,0.0861509,2.79379,3.13839
wel5,2.47712,0.488561,1.5,3.45424,2.71894,0.443486,1.83196,3.60591
wel2,2.47712,0.488561,1.5,3.45424,1.88808,0.453193,0.98169,2.79446
wel3,2.47712,0.488561,1.5,3.45424,2.38083,0.44272,1.49539,3.26627
wel1,2.47712,0.488561,1.5,3.45424,2.53205,0.438357,1.65534,3.40876
wel4,2.47712,0.488561,1.5,3.45424,2.15462,0.466699,1.22122,3.08802
wel0,2.47712,0.488561,1.5,3.45424,2.11445,0.423965,1.26652,2.96238
hk_i:27_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.756675,0.885913,-1.01515,2.5285
hk_i:17_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.826856,0.990543,-1.15423,2.80794
hk_i:27_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.797315,0.976577,-1.15584,2.75047
hk_i:7_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0671342,0.986552,-1.90597,2.04024
hk_i:27_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,-0.0155662,0.987775,-1.99112,1.95998
hk_i:37_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.576439,0.93187,-1.2873,2.44018
hk_i:7_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.995282,0.914564,-0.833846,2.82441
hk_i:32_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.524862,0.960567,-1.39627,2.446
hk_i:2_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.686075,0.995131,-1.30419,2.67634
hk_i:22_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,1.07642,0.943438,-0.810451,2.9633
hk_i:37_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.300377,0.992751,-1.68513,2.28588
hk_i:2_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.923218,0.969505,-1.01579,2.86223
hk_i:12_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.680709,0.999472,-1.31823,2.67965
hk_i:22_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.453567,0.937167,-1.42077,2.3279
hk_i:17_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,-0.0457906,0.985312,-2.01641,1.92483
hk_i:12_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.362742,0.97368,-1.58462,2.3101
hk_i:22_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.963043,0.948604,-0.934166,2.86025
hk_i:27_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.928171,0.857215,-0.786258,2.6426
hk_i:17_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.271556,0.978459,-1.68536,2.22847
hk_i:2_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.674631,0.751584,-0.828538,2.1778
hk_i:32_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.619188,0.977002,-1.33481,2.57319
hk_i:32_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0051584,0.989031,-1.9729,1.98322
hk_i:2_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0661252,0.983571,-1.90102,2.03327
hk_i:7_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.629363,0.990912,-1.35246,2.61119
hk_i:7_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.597035,0.8691,-1.14116,2.33523
hk_i:22_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,-0.0159334,0.986031,-1.988,1.95613
hk_i:12_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0394355,0.986291,-1.93315,2.01202
hk_i:37_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.217246,0.996331,-1.77542,2.20991
hk_i:32_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.749922,0.919374,-1.08883,2.58867
rch_i:17_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.30103,0.149945,0.00114088,0.600919
rch_i:27_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.14985,-0.60073,-0.00133007
rch_i:27_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150063,-0.601155,-0.000904575
rch_i:7_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150045,-0.601119,-0.000940529
rch_i:27_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,-0.0115715,0.147717,-0.307005,0.283862
rch_i:37_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150245,-0.601519,-0.00054098
rch_i:22_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,0.253248,0.149797,-0.0463458,0.552842
rch_i:12_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.14989,-0.60081,-0.00125038
rch_i:32_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.110161,0.149756,-0.409673,0.189352
rch_i:7_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.29095,0.149479,-0.00800856,0.589908
rch_i:32_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150102,-0.601233,-0.000826871
rch_i:17_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149877,-0.600783,-0.00127683
rch_i:7_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,0.00835987,0.149729,-0.291098,0.307818
rch_i:37_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.120468,0.150267,-0.421001,0.180065
rch_i:17_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150032,-0.601094,-0.000966106
rch_i:22_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.30103,0.149255,0.00251911,0.599541
rch_i:2_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.17246,0.148561,-0.124662,0.469581
rch_i:2_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.29727,0.149475,-0.596219,0.00167954
rch_i:22_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149869,-0.600767,-0.00129275
rch_i:32_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149858,-0.600746,-0.00131368
rch_i:2_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149927,-0.600884,-0.00117648
rch_i:22_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150082,-0.601195,-0.000865126
rch_i:7_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.1499,-0.60083,-0.00123
rch_i:12_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150025,-0.60108,-0.000979659
rch_i:32_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,-0.191192,0.149092,-0.489376,0.106992
rch_i:12_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.30103,0.149994,0.00104168,0.601018
rch_i:37_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.15032,-0.601671,-0.000389117
rch_i:27_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.0985609,0.148905,-0.396372,0.19925
rch_i:2_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149986,-0.601003,-0.00105727
