time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1083.553163550496,-839.0802036422908,2836.602086791833
3683.500000000,-1056.956811980377,-749.5612513819677,2723.948595737034
3712.500000000,-1108.853264603879,-767.3211101651151,2793.103731756061
3743.500000000,-1188.827743021781,-814.6729301273440,2919.750690702471
3773.500000000,-1261.415956910050,-861.5766365621251,3038.874065761686
3804.500000000,-1303.983929197060,-885.8940284262931,3106.054650357901
3834.500000000,-1293.341800376296,-865.0437966639543,3075.883612252149
3865.500000000,-1227.251254721987,-796.2897942217797,2943.252963010879
3896.500000000,-1123.380132205441,-701.2836397907521,2746.362931039881
3926.500000000,-1005.474532031738,-594.9325104853733,2524.033411382323
3957.500000000,-897.5563989249221,-500.3064879271335,2322.703962412500
3987.500000000,-830.2263963339334,-438.2237975976980,2193.495393381977
4018.500000000,-790.3460476887352,-486.5665605894388,2198.462505602393
4049.500000000,-853.6364403778355,-571.7167262636673,2343.284818189362
4077.500000000,-980.2651380760370,-689.5145611194174,2583.853856721502
4108.500000000,-1138.760461564413,-824.5584236748060,2873.850285370468
4138.500000000,-1262.522997615103,-924.7297096461908,3095.679285392536
4169.500000000,-1317.863777108214,-962.0043020351073,3188.127442814942
4199.500000000,-1281.271135442369,-919.2169695398906,3110.520980055174
4230.500000000,-1155.241337867727,-799.8185747078707,2868.377416139583
4261.500000000,-972.5560211036805,-633.9961903820733,2523.671195450355
4291.500000000,-783.1301663670968,-465.4031296600519,2168.931537827802
4322.500000000,-624.3372283667342,-326.3156289534255,1873.048803131737
4352.500000000,-542.1811719736924,-254.4879446734649,1719.301271069714
4383.500000000,-593.3651329625062,-297.0703857940062,1810.519123271542
