time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-702.5821227803840,-478.5915537598298,1268.916947436207
32.00000000000,-932.8210286900616,-639.9122300954963,1710.945139155038
61.00000000000,-1102.802765891958,-767.7777918308511,2015.981964483866
92.00000000000,-1183.578487831652,-829.2746220308267,2148.420783520189
122.0000000000,-1141.359184134643,-799.5615883564539,2052.516829481102
153.0000000000,-984.7725991704249,-681.1255420876635,1746.621123235590
183.0000000000,-765.0462862759850,-516.7336168071017,1333.333771129907
214.0000000000,-532.6270427797439,-345.1145414704912,910.5252850011569
245.0000000000,-351.7291877458258,-214.6534681035508,596.2614160533795
275.0000000000,-260.5447471651008,-152.2193119728845,456.7720230130602
306.0000000000,-287.7562296374405,-171.5988184206499,530.6780272363117
336.0000000000,-429.3148194092522,-275.7543626205737,808.4932455889735
367.0000000000,-653.0302681077035,-438.9226896839116,1222.896086718203
398.0000000000,-891.5256080445042,-614.1669018871934,1651.494819319039
426.0000000000,-1060.424202484097,-738.3859375787071,1942.767129161164
457.0000000000,-1135.852593826546,-793.5943871718525,2055.067003757105
487.0000000000,-1081.272608337428,-753.4014142893193,1931.030902840568
518.0000000000,-910.8732717931761,-628.1992228513529,1603.781189826827
548.0000000000,-683.9971856113031,-463.3190568123497,1186.960038124808
579.0000000000,-456.1292911264756,-299.0783477252838,783.7674908288097
610.0000000000,-300.7763300728889,-189.5867214243907,524.9544659887277
640.0000000000,-261.6803796839253,-162.0982769141816,479.9760835128957
671.0000000000,-346.6465870138826,-222.5043241251239,656.2921243637060
701.0000000000,-531.2502301827437,-355.1639024307933,1004.678114969083
732.0000000000,-771.0801383508599,-529.8070713542318,1441.180344527019
