name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
hk_i:22_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.682757,0.937343,-1.19193,2.55744
hk_i:12_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.660621,0.978375,-1.29613,2.61737
hk_i:2_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.661902,0.732855,-0.803809,2.12761
hk_i:2_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.695405,0.997598,-1.29979,2.6906
hk_i:37_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.624292,0.861146,-1.098,2.34658
hk_i:17_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.699542,0.9906,-1.28166,2.68074
hk_i:7_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.658789,0.855552,-1.05231,2.36989
hk_i:32_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.674915,0.976107,-1.2773,2.62713
hk_i:7_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.700661,0.93729,-1.17392,2.57524
hk_i:37_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.65296,0.971715,-1.29047,2.59639
hk_i:32_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.675015,0.955884,-1.23675,2.58678
hk_i:27_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.70409,0.913446,-1.1228,2.53098
hk_i:12_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.669997,0.995427,-1.32086,2.66085
hk_i:27_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.694859,0.83674,-0.978621,2.36834
hk_i:32_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.680788,0.996943,-1.3131,2.67467
hk_i:37_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.680745,0.996686,-1.31263,2.67412
hk_i:27_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.678858,0.995404,-1.31195,2.66967
hk_i:22_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.704522,0.953727,-1.20293,2.61198
hk_i:27_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.695419,0.99768,-1.29994,2.69078
hk_i:2_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.698356,0.977282,-1.25621,2.65292
hk_i:7_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.667851,0.991213,-1.31457,2.65028
hk_i:17_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.672727,0.997131,-1.32153,2.66699
