name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
hk_i:22_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.360648,0.914812,-1.46898,2.19027
hk_i:12_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,-0.00202936,0.982281,-1.96659,1.96253
hk_i:2_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.818975,0.718034,-0.617093,2.25504
hk_i:2_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.612664,0.998346,-1.38403,2.60936
hk_i:37_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,-0.437355,0.975672,-2.3887,1.51399
hk_i:17_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.525266,0.987894,-1.45052,2.50105
hk_i:7_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.552908,0.874721,-1.19653,2.30235
hk_i:32_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.276671,0.851846,-1.42702,1.98036
hk_i:7_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,1.41251,0.862251,-0.311997,3.13701
hk_i:37_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,-0.43853,0.993399,-2.42533,1.54827
hk_i:32_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.409657,0.983083,-1.55651,2.37582
hk_i:27_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,1.02726,0.56639,-0.105523,2.16004
hk_i:12_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0520442,0.986974,-1.9219,2.02599
hk_i:27_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,1.28987,0.228333,0.833207,1.74654
hk_i:32_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.295128,0.996109,-1.69709,2.28735
hk_i:37_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.158613,0.995423,-1.83223,2.14946
hk_i:27_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.289002,0.99559,-1.70218,2.28018
hk_i:22_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,1.5586,0.900862,-0.243125,3.36032
hk_i:27_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.896625,0.827488,-0.758351,2.5516
hk_i:2_j:7_zone:1.0,0.69897,1,-1.30103,2.69897,0.84463,0.982504,-1.12038,2.80964
hk_i:7_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.130168,0.988776,-1.84738,2.10772
hk_i:17_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.0859644,0.990916,-1.89587,2.0678
hk_i:7_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.710986,0.992506,-1.27403,2.696
hk_i:2_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.108927,0.994607,-1.88029,2.09814
hk_i:22_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.995042,0.960451,-0.925859,2.91594
hk_i:12_j:2_zone:1.0,0.69897,1,-1.30103,2.69897,0.746936,0.99813,-1.24932,2.7432
hk_i:17_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.133826,0.981735,-1.82964,2.0973
hk_i:22_j:17_zone:1.0,0.69897,1,-1.30103,2.69897,0.146683,0.991782,-1.83688,2.13025
hk_i:32_j:12_zone:1.0,0.69897,1,-1.30103,2.69897,0.670195,0.901469,-1.13274,2.47313
rch_i:12_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149559,-0.600149,-0.00191133
rch_i:37_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150251,-0.601531,-0.000528668
rch_i:17_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149702,-0.600433,-0.00162674
rch_i:2_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149757,-0.600545,-0.0015154
rch_i:17_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149581,-0.600192,-0.00186845
rch_i:27_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149751,-0.600532,-0.0015276
rch_i:27_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149702,-0.600434,-0.00162617
rch_i:7_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.30103,0.143802,0.0134253,0.588635
rch_i:37_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.150241,-0.601512,-0.000547776
rch_i:7_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149732,-0.600494,-0.00156582
rch_i:32_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.135689,0.0915284,-0.0473674,0.318746
rch_i:32_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149743,-0.600516,-0.00154359
rch_i:2_j:2_zone:1.0,0,0.150515,-0.30103,0.30103,0.30103,0.14181,0.017409,0.584651
rch_i:22_j:12_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149764,-0.600558,-0.00150211
rch_i:2_j:17_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.149742,-0.600514,-0.00154621
rch_i:37_j:7_zone:1.0,0,0.150515,-0.30103,0.30103,-0.30103,0.14985,-0.60073,-0.00132952
