,sidx,idx_strs,xy,x,y,pargp4,parval1_4,4
0,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,0.586073086302153822835236951505066826939582824707031250000000000000000000000
1,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,1.4844120681768018243928963784128427505493164062500000000000000000000000000000
2,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,0.6992513811657201650007209536852315068244934082031250000000000000000000000000
3,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,4.1365748835672162542209662206005305051803588867187500000000000000000000000000
4,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,0.532915463069472461477005253982497379183769226074218750000000000000000000000
5,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,1.208119253559684080912006720609497278928756713867187500000000000000000000000
6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,1.855466870364003817428510956233367323875427246093750000000000000000000000000
7,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,0.4765453055707393192896859090978978201746940612792968750000000000000000000000
8,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,2.6901941956692070334611344151198863983154296875000000000000000000000000000000
9,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,1.998445889091157834371870194445364177227020263671875000000000000000000000000
10,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,2.4101935394029383452618731098482385277748107910156250000000000000000000000000
11,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,0.902778185110757802611658462410559877753257751464843750000000000000000000000
12,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,0.577760833076978008726598545763408765196800231933593750000000000000000000000
13,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,0.9664449793082098283392156190529931336641311645507812500000000000000000000000
14,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,1.669079084012101921175030838639941066503524780273437500000000000000000000000
15,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,3.752811401507293087576044854358769953250885009765625000000000000000000000000
16,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,0.2405228536315741905138310130496392957866191864013671875000000000000000000000
17,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,0.871930136728699678450027477083494886755943298339843750000000000000000000000
18,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,1.6881215620227929541385947231901809573173522949218750000000000000000000000000
19,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,0.3044838749583416714905581557104596868157386779785156250000000000000000000000
20,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,0.4884686874989460081408765290689188987016677856445312500000000000000000000000
21,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,0.711088053357706195711784857849124819040298461914062500000000000000000000000
22,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,1.4631605372857674485231882499647326767444610595703125000000000000000000000000
23,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,0.877886326327923627310667598067084327340126037597656250000000000000000000000
24,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,5.7928748130248672865150183497462421655654907226562500000000000000000000000000
25,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,0.467585345846255440172001272003399208188056945800781250000000000000000000000
26,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,0.584523506531200665037317776295822113752365112304687500000000000000000000000
