name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:2_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348011,-0.696022,0.696022
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:7_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348864,-0.697729,0.697729
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:12_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.349385,-0.69877,0.69877
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:17_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348112,-0.696223,0.696223
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:2_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.349183,-0.698366,0.698366
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:7_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.349443,-0.698885,0.698885
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:12_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.345434,-0.690868,0.690868
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:17_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348804,-0.697609,0.697609
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:2_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.347811,-0.695621,0.695621
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:12_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348106,-0.696212,0.696212
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:17_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.345506,-0.691012,0.691012
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:2_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.34868,-0.69736,0.69736
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:12_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.348305,-0.696611,0.696611
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:17_zone:1.0,0,0.349485,-0.69897,0.69897,0,0.347912,-0.695823,0.695823
