name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00323969,0.229262,-0.461764,0.455284
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:7_zone:1.0,0,0.23299,-0.46598,0.46598,-0.000994478,0.230018,-0.46103,0.459041
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00468027,0.229622,-0.463924,0.454563
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.0070693,0.22818,-0.463429,0.449291
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,0.000934555,0.22744,-0.453946,0.455815
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:7_zone:1.0,0,0.23299,-0.46598,0.46598,4.80994e-05,0.230102,-0.460157,0.460253
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00531321,0.229109,-0.463532,0.452906
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00237561,0.229375,-0.461126,0.456375
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00561497,0.229895,-0.465404,0.454174
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00596021,0.22966,-0.46528,0.45336
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00259192,0.229245,-0.461083,0.455899
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00270981,0.226962,-0.456635,0.451215
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00474973,0.230637,-0.466025,0.456525
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00552959,0.22904,-0.463609,0.45255
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00803236,0.228486,-0.465005,0.44894
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:7_zone:1.0,0,0.23299,-0.46598,0.46598,0.0195984,0.228108,-0.436618,0.475815
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00203269,0.229884,-0.461801,0.457736
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00496622,0.229573,-0.464112,0.45418
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:2_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00390546,0.230241,-0.464387,0.456576
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:7_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00374032,0.228063,-0.459866,0.452385
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:12_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00463454,0.22896,-0.462554,0.453285
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:17_zone:1.0,0,0.23299,-0.46598,0.46598,-0.00201476,0.23018,-0.462376,0.458346
