,sidx,idx_strs,xy,x,y,pargp4,parval1_4,4
0,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
1,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
2,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
3,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
4,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
5,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
7,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
8,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
9,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
10,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
11,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
12,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
13,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
14,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
15,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
16,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
17,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
18,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
19,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
20,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
21,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
22,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
23,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
24,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
25,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
26,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
27,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
28,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcondgr,1.0,                                                                 1.000000E+00
29,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcondgr,1.0,                                                                  1.000000E+00
