,sidx,idx_strs,pargp3,parval1_3,3
0,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
1,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
2,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
3,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
4,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
5,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
7,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
8,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
9,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
10,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
11,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
12,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
13,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
14,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
15,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
16,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
17,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
18,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
19,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
20,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
21,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
22,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
23,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
24,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
25,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
26,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
27,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
28,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
29,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbheadcn,0.0,0.0000000000000000000000000000000000000000000000000e+00
