totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-681.4092,-6.3965,-0.23,2017.823,-537.8724,0.69680005,214.21591,-6.3964844,-1019.8507
3683.5,-749.34827,0.9688,0.03,3425.1716,-674.38763,-3.4123,-1621.6584,0.96875,-375.3962
3712.5,-837.1869,0.4173,0.01,4482.7637,-837.5396,-4.3552,-2260.42,0.41748047,-542.8449
3743.5,-861.2783,3.1609,0.08,3803.6023,-892.2574,-1.638682,-984.8478,3.1611328,-1060.4192
3773.5,-851.4833,2.8683,0.08,3160.9995,-875.0721,0.122600004,-47.563004,2.868164,-1384.1354
3804.5,-786.28955,-4.4863,-0.12,2011.4911,-752.9052,2.9665,1413.4993,-4.486084,-1893.2485
3834.5,-718.54175,-3.2539,-0.09,1284.8282,-627.4037,3.3672,1766.0201,-3.2539062,-1711.5239
3865.5,-655.1697,-0.614,-0.02,1269.3615,-464.64227,4.0053,2005.3547,-0.6140137,-2159.5232
3896.5,-589.2892,-6.7652,-0.2,1003.6451,-329.0419,3.741314,1969.777,-6.765381,-2065.5974
3926.5,-553.4293,0.7977,0.03,1380.6534,-274.0539,1.9715259,1131.3043,0.7976074,-1685.6484
3957.5,-553.7145,-3.3702,-0.12,1958.0468,-230.4074,0.8394,496.02722,-3.3701172,-1674.1617
3987.5,-573.4192,2.4003,0.09,2232.281,-266.14752,-0.77806896,-270.1724,2.4003906,-1119.3636
4018.5,-647.0189,1.3311,0.04,3321.1216,-421.16312,-3.7114,-1776.966,1.3310547,-470.9312
4049.5,-734.0541,3.097,0.07,3924.234,-597.4793,-4.3441,-2223.787,3.0966797,-361.472
4077.5,-765.0508,0.2924,0.01,3041.921,-677.5314,-2.35,-1243.1273,0.29248047,-353.569
4108.5,-809.64856,1.8006,0.05,3407.4104,-770.2835,-2.3629,-1274.5237,1.8005371,-548.791
4138.5,-792.80975,-2.4714,-0.09,2133.6938,-761.54553,0.33067402,104.3859,-2.4714355,-686.5266
4169.5,-759.24066,-2.902,-0.1,1726.1171,-698.9035,1.5682,734.894,-2.9020996,-1007.337
4199.5,-688.78125,-4.742,-0.15,1119.0337,-576.106,3.4742,1686.2512,-4.7421875,-1548.6139
4230.5,-627.8196,-5.3285,-0.17,971.6231,-453.0294,3.3574,1743.5419,-5.3286133,-1643.002
4261.5,-570.2427,0.4876,0.01,1133.8774,-306.35672,3.559,1783.1322,0.48779297,-2043.4817
4291.5,-550.96313,-4.9057,-0.16,1590.4337,-222.2014,2.1055868,1124.1974,-4.9057617,-1948.478
4322.5,-559.1863,-2.3326,-0.09,1930.0974,-232.7123,-0.4116,-29.819702,-2.3327637,-1110.3
4352.5,-576.83813,3.9102,0.15,2219.3381,-259.843,-0.8085,-371.4455,3.9101562,-1006.4929
4383.5,-650.5105,1.0331,0.03,3373.1,-407.4897,-3.7125,-1812.7024,1.0332031,-497.652
