,sidx,idx_strs,pargp3,parval1_3,3
0,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
1,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
2,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
3,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
4,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
5,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
7,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
8,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
9,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
10,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
11,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
12,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
13,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
14,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
15,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
16,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
17,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
18,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
19,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
20,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
21,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
22,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
23,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
24,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
25,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
26,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
27,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
28,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
29,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbheadcn,0.0,-0.6413712848416164291620589210651814937591552734375000
