,sidx,idx_strs,xy,x,y,pargp3,parval1_3,3
0,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbheadgr,0.0,0.873915053564779498174175387248396873474121093750000000000000000000000000000
1,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbheadgr,0.0,-1.001603713334343837004780652932822704315185546875000000000000000000000000000
2,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbheadgr,0.0,0.9472482557033607974972255760803818702697753906250000000000000000000000000000
3,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbheadgr,0.0,0.2185653745326021635264623910188674926757812500000000000000000000000000000000
4,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbheadgr,0.0,-0.34111169550911490944145043613389134407043457031250000000000000000000000000
5,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbheadgr,0.0,0.370413104545878724138674442656338214874267578125000000000000000000000000000
6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbheadgr,0.0,0.080036200159707249213170143775641918182373046875000000000000000000000000000
7,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbheadgr,0.0,-0.916405866591119888653338421136140823364257812500000000000000000000000000000
8,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbheadgr,0.0,-0.634818378436353469851383124478161334991455078125000000000000000000000000000
9,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbheadgr,0.0,-0.50925215814602609043504344299435615539550781250000000000000000000000000000
10,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbheadgr,0.0,-0.974125648076343608749994018580764532089233398437500000000000000000000000000
11,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbheadgr,0.0,0.136050894266574573521211277693510055541992187500000000000000000000000000000
12,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbheadgr,0.0,1.369431007335434102856197569053620100021362304687500000000000000000000000000
13,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbheadgr,0.0,1.0626977500703453927144437329843640327453613281250000000000000000000000000000
14,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbheadgr,0.0,0.205212781665727206359406409319490194320678710937500000000000000000000000000
15,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbheadgr,0.0,-0.75584301984028101628609874751418828964233398437500000000000000000000000000
16,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbheadgr,0.0,-0.753339914357040285608491103630512952804565429687500000000000000000000000000
17,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbheadgr,0.0,-0.31176800137536453405573411146178841590881347656250000000000000000000000000
18,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbheadgr,0.0,-0.733808003367441230579970579128712415695190429687500000000000000000000000000
19,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbheadgr,0.0,-0.448796156487290431869041640311479568481445312500000000000000000000000000000
20,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbheadgr,0.0,1.8097054581249096827377798035740852355957031250000000000000000000000000000000
21,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbheadgr,0.0,0.427666108811854073223912564571946859359741210937500000000000000000000000000
22,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbheadgr,0.0,0.8622411743785463045242067892104387283325195312500000000000000000000000000000
23,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbheadgr,0.0,0.080781084633304800490805064328014850616455078125000000000000000000000000000
24,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbheadgr,0.0,-0.939875875849086384050679043866693973541259765625000000000000000000000000000
25,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbheadgr,0.0,-0.26622641054615314715192653238773345947265625000000000000000000000000000000
26,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbheadgr,0.0,0.159782943494171547627047402784228324890136718750000000000000000000000000000
