time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-375.7616252940231,-169.3990100219666,671.6910664472543
3683.500000000,-433.8046359498511,-236.7394999786715,876.0332190453163
3712.500000000,-505.9467373299469,-328.4289406628029,1056.437357805613
3743.500000000,-540.3099718798338,-350.6503506744774,1118.675760692363
3773.500000000,-539.6239957310192,-336.1571641146807,1038.203617601215
3804.500000000,-482.4170295903259,-272.9593956799905,866.0707380533111
3834.500000000,-425.8984617035167,-204.1078280135646,700.5124215793109
3865.500000000,-345.9846586337064,-123.7542106231417,527.6373661349379
3896.500000000,-277.1110780070850,-55.80848795068183,365.5057032673763
3926.500000000,-248.9972554496629,-26.24360661810292,321.7110361252456
3957.500000000,-209.4067257529134,-22.61517151557077,315.6100437882490
3987.500000000,-217.9000912735141,-47.48675635449769,377.9420035026835
4018.500000000,-287.4625553975249,-128.8014725176579,559.5716290581317
4049.500000000,-371.0706739729971,-221.7637057331914,727.4419479562509
4077.500000000,-414.6807530449507,-260.0865509157785,837.3963440320344
4108.500000000,-462.0448007589363,-306.4366085874296,902.0188324476977
4138.500000000,-467.9036576302287,-294.4537303266766,867.0745149289191
4169.500000000,-440.1239405702888,-260.1774024951616,782.9788190803628
4199.500000000,-388.4187134301523,-190.3807338600324,630.4234002153908
4230.500000000,-322.6251533792931,-133.6597214451972,498.8412839896595
4261.500000000,-251.5621090531534,-60.27367887051767,357.5307505664045
4291.500000000,-201.4735422837120,-22.99332830567378,317.5774723294767
4322.500000000,-197.8031770189602,-34.06677549949817,355.5427196980291
4352.500000000,-206.3061703962852,-53.55703243036451,424.1118657411513
4383.500000000,-272.2656454677476,-130.6588311438009,623.7738549664841
