,sidx,idx_strs,xy,x,y,pargp4,parval1_4,4
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,3.17106495564984536272845616622362285852432250976562500000000000000000000000000
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcond_gr,1.0,6.55729406864310604419188166502863168716430664062500000000000000000000000000000
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,1.02913466826472732584818459145026281476020812988281250000000000000000000000000
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,1.2211904073081467636541219690116122364997863769531250000000000000000000000000
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcond_gr,1.0,0.35259429238521045046894641927792690694332122802734375000000000000000000000000
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.48057543928559232071506812644656747579574584960937500000000000000000000000000
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcond_gr,1.0,10.0000000000000000000000000000000000000000000000000000000000000000000000000000
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,0.2224812039431530164002026594971539452672004699707031250000000000000000000000
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,0.4771098564587631929434508037957129999995231628417968750000000000000000000000
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,2.8767744495938862847594919003313407301902770996093750000000000000000000000000
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcond_gr,1.0,0.1325737140375953249105123177287168800830841064453125000000000000000000000000
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,2.5811849685679395527415636024670675396919250488281250000000000000000000000000
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,0.9268851799946451475165076772100292146205902099609375000000000000000000000000
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,0.2325000391935371224505502141255419701337814331054687500000000000000000000000
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,0.1777775633362879414978152681214851327240467071533203125000000000000000000000
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,1.43778673909782495066167484765173867344856262207031250000000000000000000000000
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,0.84378703344393246599253188833245076239109039306640625000000000000000000000000
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,"(2625.0, 125.0)",2625.0,125.0,ghbcond_gr,1.0,1.17296293223359415769380120764253661036491394042968750000000000000000000000000
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,"(1875.0, 125.0)",1875.0,125.0,ghbcond_gr,1.0,0.2690087487364468121775473719026194885373115539550781250000000000000000000000
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,"(2375.0, 125.0)",2375.0,125.0,ghbcond_gr,1.0,10.000000000000000000000000000000000000000000000000000000000000000000000000000
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,"(2875.0, 125.0)",2875.0,125.0,ghbcond_gr,1.0,0.33276767592163458697740452407742850482463836669921875000000000000000000000000
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,"(2125.0, 125.0)",2125.0,125.0,ghbcond_gr,1.0,4.0983747691802143719996820436790585517883300781250000000000000000000000000000
22,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcond_gr,1.0,0.1424339692624894959660508675369783304631710052490234375000000000000000000000
23,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.00674804152532160195221422327449545264244079589843750000000000000000000000000
24,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcond_gr,1.0,0.95474324445881986189732515413197688758373260498046875000000000000000000000000
25,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,"(3125.0, 125.0)",3125.0,125.0,ghbcond_gr,1.0,1.35653119265404753512882507493486627936363220214843750000000000000000000000000
26,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,"(1625.0, 125.0)",1625.0,125.0,ghbcond_gr,1.0,0.4277012561741107554702523430023575201630592346191406250000000000000000000000
27,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,"(3375.0, 125.0)",3375.0,125.0,ghbcond_gr,1.0,0.26041878129936618657680469368642661720514297485351562500000000000000000000000
28,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,"(3625.0, 125.0)",3625.0,125.0,ghbcond_gr,1.0,0.57527295516927712260013549894210882484912872314453125000000000000000000000000
29,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,"(1375.0, 125.0)",1375.0,125.0,ghbcond_gr,1.0,0.3680857991833089148947522062371717765927314758300781250000000000000000000000
