,sidx,idx_strs,xy,x,y,pargp9,parval1_9,9
0,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,"(3875.0, 7875.0)",3875.0,7875.0,sfrcond_gr,1.0,2.7448559041002056346769677475094795227050781250000000000000000000000000000000
1,"(22, 22, 15)",idx0:22_idx1:22_idx2:15,"(3875.0, 4375.0)",3875.0,4375.0,sfrcond_gr,1.0,2.471513102872992195813139915117062628269195556640625000000000000000000000000000
2,"(15, 15, 15)",idx0:15_idx1:15_idx2:15,"(3875.0, 6125.0)",3875.0,6125.0,sfrcond_gr,1.0,0.373052924174406441704121561997453682124614715576171875000000000000000000000000
3,"(31, 31, 15)",idx0:31_idx1:31_idx2:15,"(3875.0, 2125.0)",3875.0,2125.0,sfrcond_gr,1.0,5.199004537641497947220159403514117002487182617187500000000000000000000000000000
4,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,"(3875.0, 7625.0)",3875.0,7625.0,sfrcond_gr,1.0,2.7946962556767971364024560898542404174804687500000000000000000000000000000000
5,"(21, 21, 15)",idx0:21_idx1:21_idx2:15,"(3875.0, 4625.0)",3875.0,4625.0,sfrcond_gr,1.0,0.191592760903210590495149290291010402143001556396484375000000000000000000000000
6,"(16, 16, 15)",idx0:16_idx1:16_idx2:15,"(3875.0, 5875.0)",3875.0,5875.0,sfrcond_gr,1.0,0.380056528303843288441044023784343153238296508789062500000000000000000000000000
7,"(30, 30, 15)",idx0:30_idx1:30_idx2:15,"(3875.0, 2375.0)",3875.0,2375.0,sfrcond_gr,1.0,4.929275223802883409973674133652821183204650878906250000000000000000000000000000
8,"(23, 23, 15)",idx0:23_idx1:23_idx2:15,"(3875.0, 4125.0)",3875.0,4125.0,sfrcond_gr,1.0,1.005304121862581112623047374654561281204223632812500000000000000000000000000000
9,"(32, 32, 15)",idx0:32_idx1:32_idx2:15,"(3875.0, 1875.0)",3875.0,1875.0,sfrcond_gr,1.0,0.729789582862359176296251916937762871384620666503906250000000000000000000000000
10,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,"(3875.0, 7125.0)",3875.0,7125.0,sfrcond_gr,1.0,2.280111948750918493544759257929399609565734863281250000000000000000000000000000
11,"(19, 19, 15)",idx0:19_idx1:19_idx2:15,"(3875.0, 5125.0)",3875.0,5125.0,sfrcond_gr,1.0,1.189443477414587224672004595049656927585601806640625000000000000000000000000000
12,"(17, 17, 15)",idx0:17_idx1:17_idx2:15,"(3875.0, 5625.0)",3875.0,5625.0,sfrcond_gr,1.0,1.054300936545747857664423463575076311826705932617187500000000000000000000000000
13,"(29, 29, 15)",idx0:29_idx1:29_idx2:15,"(3875.0, 2625.0)",3875.0,2625.0,sfrcond_gr,1.0,0.268058057447550124319235465009114705026149749755859375000000000000000000000000
14,"(24, 24, 15)",idx0:24_idx1:24_idx2:15,"(3875.0, 3875.0)",3875.0,3875.0,sfrcond_gr,1.0,3.297215817641508284197016109828837215900421142578125000000000000000000000000000
